 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2014","Giardiasis, Cum 2014, flag","Giardiasis, Cum 2013","Giardiasis, Cum 2013, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2014","Gonorrhea, Cum 2014, flag","Gonorrhea, Cum 2013","Gonorrhea, Cum 2013, flag","Haemophilus influenzae, invasive†, All ages, all serotypes,Current week","Haemophilus influenzae, invasive†, All ages, all serotypes,Current week, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2014","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2014, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2013","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,62,,237,,407,,62,,184,,2444,,6199,,6951,,2444,,5412,,26,,62,,112,,26,,101,,,
NEW ENGLAND,2014,1,5,,23,,58,,5,,23,,51,,127,,192,,51,,121,,,-,4,,9,,,-,6,,,
MID. ATLANTIC,2014,1,14,,48,,89,,14,,20,,253,,775,,914,,253,,509,,3,,11,,22,,3,,20,,,
E.N. CENTRAL,2014,1,4,,37,,62,,4,,23,,137,,980,,1296,,137,,773,,3,,11,,21,,3,,21,,,
W.N. CENTRAL,2014,1,4,,16,,41,,4,,16,,36,,327,,416,,36,,238,,5,,5,,9,,5,,6,,,
S. ATLANTIC,2014,1,22,,43,,91,,22,,30,,1006,,1372,,1761,,1006,,1006,,9,,16,,33,,9,,21,,,
E.S. CENTRAL,2014,1,,-,3,,8,,,-,4,,166,,470,,632,,166,,363,,2,,5,,12,,2,,10,,,
W.S. CENTRAL,2014,1,,-,6,,15,,,-,1,,427,,943,,1491,,427,,1491,,2,,3,,10,,2,,3,,,
MOUNTAIN,2014,1,4,,17,,37,,4,,15,,130,,264,,386,,130,,186,,2,,5,,14,,2,,9,,,
PACIFIC,2014,1,9,,53,,126,,9,,52,,238,,892,,1038,,238,,725,,,-,3,,9,,,-,5,,,
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,1,,3,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
