Reporting Area,MMWR Year,MMWR Week,"Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2014","Varicella (chickenpox), Cum 2014, flag","Varicella (chickenpox), Cum 2013","Varicella (chickenpox), Cum 2013, flag","West Nile virus disease†, Neuroinvasive, Current week","West Nile virus disease†, Neuroinvasive, Current week, flag","West Nile virus disease†, Neuroinvasive, Previous 52 weeks Med","West Nile virus disease†, Neuroinvasive, Previous 52 weeks Med, flag","West Nile virus disease†, Neuroinvasive, Previous 52 weeks Max","West Nile virus disease†, Neuroinvasive, Previous 52 weeks Max, flag","West Nile virus disease†, Neuroinvasive, Cum 2014","West Nile virus disease†, Neuroinvasive, Cum 2014, flag","West Nile virus disease†, Neuroinvasive, Cum 2013","West Nile virus disease†, Neuroinvasive, Cum 2013, flag","West Nile virus disease†, Nonneuroinvasive§, Current week","West Nile virus disease†, Nonneuroinvasive§, Current week, flag","West Nile virus disease†, Nonneuroinvasive§, Previous 52 weeks Med","West Nile virus disease†, Nonneuroinvasive§, Previous 52 weeks Med, flag","West Nile virus disease†, Nonneuroinvasive§, Previous 52 weeks Max","West Nile virus disease†, Nonneuroinvasive§, Previous 52 weeks Max, flag","West Nile virus disease†, Nonneuroinvasive§, Cum 2014","West Nile virus disease†, Nonneuroinvasive§, Cum 2014, flag","West Nile virus disease†, Nonneuroinvasive§, Cum 2013","West Nile virus disease†, Nonneuroinvasive§, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,24,,206,,285,,24,,114,,,-,1,,154,,,-,,-,,-,1,,163,,,-,1,,,
NEW ENGLAND,2014,1,3,,18,,42,,3,,18,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
CONNECTICUT,2014,1,,-,4,,9,,,-,8,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"CONNECTICUT (41.56266394200048, -72.64983753699966)
",
MAINE,2014,1,3,,3,,7,,3,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE (45.254228663000504, -68.98502952999962)
",
MASSACHUSETTS,2014,1,,-,7,,15,,,-,6,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MASSACHUSETTS (42.27687306500047, -72.08268985899963)
",
NEW HAMPSHIRE,2014,1,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE (43.6559537330005, -71.50035726399966)
",
RHODE ISLAND,2014,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND (41.70828281900049, -71.52246918099962)
",
VERMONT,2014,1,,-,1,,27,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"VERMONT (43.62538292400046, -72.51763944499965)
",
MID. ATLANTIC,2014,1,3,,19,,40,,3,,28,,,-,0,,7,,,-,,-,,-,0,,6,,,-,,-,,
NEW JERSEY,2014,1,,-,5,,21,,,-,13,,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NEW JERSEY (40.1305700530005, -74.27368565099965)
",
NEW YORK,2014,1,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK (42.82700023900048, -75.54396639699968)
",
NEW YORK CITY,2014,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW YORK CITY (40.71426755700048, -74.00596858999967)
",
PENNSYLVANIA,2014,1,3,,15,,26,,3,,15,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA (40.79373106100047, -77.86069775999965)
",
E.N. CENTRAL,2014,1,10,,63,,104,,10,,36,,,-,0,,26,,,-,,-,,-,0,,14,,,-,,-,,
ILLINOIS,2014,1,1,,13,,32,,1,,5,,,-,0,,21,,,-,,-,,-,0,,8,,,-,,-,"ILLINOIS (40.48501278700047, -88.99770813999965)
",
INDIANA,2014,1,2,,5,,14,,2,,4,,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,"INDIANA (39.76691364600049, -86.14995579899966)
",
MICHIGAN,2014,1,,-,20,,44,,,-,6,,,-,0,,5,,,-,,-,,-,0,,4,,,-,,-,"MICHIGAN (44.66131575600048, -84.71438724399968)
",
OHIO,2014,1,2,,13,,33,,2,,16,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OHIO (40.06021029700048, -82.40425685299965)
",
WISCONSIN,2014,1,5,,7,,23,,5,,5,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WISCONSIN (44.3931903350005, -89.81636715299965)
",
W.N. CENTRAL,2014,1,2,,6,,15,,2,,3,,,-,0,,51,,,-,,-,,-,0,,71,,,-,,-,,
IOWA,2014,1,,N,0,,0,,,N,,N,,-,0,,10,,,-,,-,,-,0,,5,,,-,,-,"IOWA (42.469404401000475, -93.81648936699969)
",
KANSAS,2014,1,,-,0,,0,,,-,,-,,-,0,,8,,,-,,-,,-,0,,17,,,-,,-,"KANSAS (38.34774033400049, -98.20077655499966)
",
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,7,,,-,,-,,-,0,,8,,,-,,-,"MINNESOTA (46.35564867700049, -94.79419697699967)
",
MISSOURI,2014,1,2,,4,,12,,2,,2,,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI (38.63579372300046, -92.56629737199967)
",
NEBRASKA,2014,1,,-,0,,2,,,-,,-,,-,0,,14,,,-,,-,,-,0,,30,,,-,,-,"NEBRASKA (41.64104043900045, -99.36571864599966)
",
NORTH DAKOTA,2014,1,,-,0,,4,,,-,1,,,-,0,,11,,,-,,-,,-,0,,9,,,-,,-,"NORTH DAKOTA (47.47531738700047, -100.11842599699969)
",
SOUTH DAKOTA,2014,1,,-,0,,4,,,-,,-,,-,0,,10,,,-,,-,,-,0,,12,,,-,,-,"SOUTH DAKOTA (44.35313342000046, -100.37352811899967)
",
S. ATLANTIC,2014,1,2,,25,,49,,2,,8,,,-,0,,8,,,-,,-,,-,0,,3,,,-,1,,,
DELAWARE,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE (39.00883351400046, -75.57773943699965)
",
DIST. OF COL.,2014,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL. (39.52368635500045, -99.11415045099966)
",
FLORIDA,2014,1,2,,13,,25,,2,,6,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"FLORIDA (28.932042899000464, -81.92895558499964)
",
GEORGIA,2014,1,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA (32.83968004200045, -83.62757601199968)
",
MARYLAND,2014,1,,N,0,,0,,,N,,N,,-,0,,4,,,-,,-,,-,0,,3,,,-,,-,"MARYLAND (39.2905806980005, -76.60925970899967)
",
