Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2014","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2014, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2014","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2014, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2014","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,,-,17,,102,,,-,,-,,-,28,,146,,,-,3,,,-,1,,12,,,-,1,,,
NEW ENGLAND,2015,1,,-,0,,6,,,-,,-,,-,11,,72,,,-,,-,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,1,,-,2,,20,,,-,,-,,-,8,,42,,,-,1,,,-,0,,3,,,-,,-,,
E.N. CENTRAL,2015,1,,-,1,,5,,,-,,-,,-,5,,48,,,-,2,,,-,1,,7,,,-,1,,,
W.N. CENTRAL,2015,1,,-,4,,34,,,-,,-,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,
S. ATLANTIC,2015,1,,-,3,,24,,,-,,-,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,,
DIST. OF COL.,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,,-,1,,13,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2015,1,,-,4,,29,,,-,,-,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
AMER. SAMOA,2015,1,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
DELAWARE,2015,1,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
MAINE,2015,1,,-,0,,1,,,-,,-,,-,3,,13,,,-,,-,,-,0,,2,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
TENNESSEE,2015,1,,-,0,,8,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NORTH CAROLINA,2015,1,,-,0,,23,,,-,,-,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
