Reporting Area,MMWR Year,MMWR Week,"Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2015","Shiga toxin-producing E. coli (STEC)§, Cum 2015, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag","Shigellosis, Cum 2015","Shigellosis, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,16,,111,,194,,16,,56,,166,,408,,610,,166,,332,,,
NEW ENGLAND,2016,1,,-,3,,17,,,-,3,,1,,5,,17,,1,,2,,,
MID. ATLANTIC,2016,1,2,,12,,23,,2,,4,,12,,28,,82,,12,,49,,,
NEW YORK CITY,2016,1,1,,2,,8,,1,,1,,7,,11,,51,,7,,30,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,3,,13,,31,,3,,5,,34,,44,,85,,34,,56,,,
W.N. CENTRAL,2016,1,2,,9,,22,,2,,4,,8,,25,,61,,8,,32,,,
S. ATLANTIC,2016,1,4,,10,,21,,4,,6,,53,,76,,153,,53,,65,,,
DIST. OF COL.,2016,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,2,,5,,14,,2,,1,,19,,25,,50,,19,,48,,,
W.S. CENTRAL,2016,1,1,,15,,38,,1,,6,,19,,120,,268,,19,,21,,,
MOUNTAIN,2016,1,1,,11,,39,,1,,2,,16,,14,,33,,16,,11,,,
