Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2016","Tetanus, Cum 2016, flag","Tetanus, Cum 2015","Tetanus, Cum 2015, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2016","Varicella (chickenpox), Cum 2016, flag","Varicella (chickenpox), Cum 2015","Varicella (chickenpox), Cum 2015, flag","Vibriosis§, Current week","Vibriosis§, Current week, flag","Vibriosis§, Previous 52 weeks Med","Vibriosis§, Previous 52 weeks Med, flag","Vibriosis§, Previous 52 weeks Max","Vibriosis§, Previous 52 weeks Max, flag","Vibriosis§, Cum 2016","Vibriosis§, Cum 2016, flag","Vibriosis§, Cum 2015","Vibriosis§, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,,-,0,,3,,,-,1,,78,,172,,227,,78,,154,,,-,15,,68,,,-,11,,,
NEW ENGLAND,2016,1,,-,0,,1,,,-,,-,8,,15,,27,,8,,20,,,-,1,,13,,,-,1,,,
MID. ATLANTIC,2016,1,,-,0,,1,,,-,,-,6,,22,,38,,6,,23,,,-,1,,7,,,-,1,,,
NEW YORK CITY,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,,-,0,,1,,,-,,-,35,,36,,65,,35,,37,,,-,1,,6,,,-,1,,,
W.N. CENTRAL,2016,1,,-,0,,1,,,-,,-,7,,10,,23,,7,,14,,,-,0,,2,,,-,,-,,
S. ATLANTIC,2016,1,,-,0,,2,,,-,1,,12,,29,,50,,12,,34,,,-,7,,14,,,-,5,,,
DIST. OF COL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,,-,0,,1,,,-,,-,,-,3,,11,,,-,5,,,-,0,,4,,,-,,-,,
W.S. CENTRAL,2016,1,,-,0,,2,,,-,,-,4,,31,,76,,4,,6,,,-,2,,8,,,-,1,,,
MOUNTAIN,2016,1,,-,0,,1,,,-,,-,5,,13,,33,,5,,13,,,-,1,,6,,,-,,-,,
