Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2016","Babesiosis, Cum 2016, flag","Babesiosis, Cum 2015","Babesiosis, Cum 2015, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Med","Campylobacteriosis, Previous 52 weeks Med, flag","Campylobacteriosis, Previous 52 weeks Max","Campylobacteriosis, Previous 52 weeks Max, flag","Campylobacteriosis, Cum 2016","Campylobacteriosis, Cum 2016, flag","Campylobacteriosis, Cum 2015","Campylobacteriosis, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,2,,15,,157,,2,,1,,377,,869,,1389,,377,,615,,,
NEW ENGLAND,2016,1,1,,6,,94,,1,,,-,19,,51,,112,,19,,41,,,
MID. ATLANTIC,2016,1,1,,6,,59,,1,,1,,59,,130,,250,,59,,99,,,
NEW YORK CITY,2016,1,,-,0,,11,,,-,,-,36,,30,,127,,36,,35,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,,-,1,,6,,,-,,-,39,,92,,217,,39,,56,,,
W.N. CENTRAL,2016,1,,-,0,,2,,,-,,-,16,,34,,91,,16,,31,,,
S. ATLANTIC,2016,1,,-,0,,1,,,-,,-,74,,159,,264,,74,,127,,,
DIST. OF COL.,2016,1,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,,-,0,,1,,,-,,-,24,,43,,77,,24,,32,,,
W.S. CENTRAL,2016,1,,-,0,,1,,,-,,-,,-,46,,177,,,-,24,,,
MOUNTAIN,2016,1,,-,0,,0,,,-,,-,25,,66,,137,,25,,46,,,
PACIFIC,2016,1,,-,0,,2,,,-,,-,121,,235,,352,,121,,159,,,
AMER. SAMOA,2016,1,,U,,-,,-,,U,,U,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MARYLAND,2016,1,,-,0,,0,,,-,,-,8,,13,,33,,8,,8,,"MARYLAND
(39.290443, -76.612333)",
VIRGINIA,2016,1,,N,0,,0,,,N,,N,2,,27,,53,,2,,19,,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2016,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2016,1,,N,0,,0,,,N,,N,2,,2,,7,,2,,,-,"NEVADA
(39.491833, -117.070159)",
MONTANA,2016,1,,-,0,,0,,,-,,-,2,,5,,16,,2,,6,,"MONTANA
(47.062617, -109.430168)",
NEW HAMPSHIRE,2016,1,,-,1,,5,,,-,,-,2,,4,,12,,2,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TEXAS,2016,1,,-,0,,1,,,-,,-,,-,0,,86,,,-,7,,"TEXAS
(31.827233, -99.423022)",
