Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2014","Babesiosis, Cum 2014, flag","Babesiosis, Cum 2013","Babesiosis, Cum 2013, flag","Coccidioidomycosis, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,,-,14,,132,,,-,4,,,,
NEW ENGLAND,2014,1,,-,3,,66,,,-,2,,-,,
MID. ATLANTIC,2014,1,,-,7,,56,,,-,1,,-,,
E.N. CENTRAL,2014,1,,-,0,,11,,,-,,-,,,
W.N. CENTRAL,2014,1,,-,0,,1,,,-,,-,-,,
S. ATLANTIC,2014,1,,-,0,,2,,,-,,-,-,,
E.S. CENTRAL,2014,1,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,1,,-,0,,1,,,-,,-,-,,
MOUNTAIN,2014,1,,-,0,,0,,,-,,-,,,
PACIFIC,2014,1,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,2,,-,14,,132,,,-,6,,,,
NEW ENGLAND,2014,2,,-,3,,69,,,-,4,,-,,
MID. ATLANTIC,2014,2,,-,7,,56,,,-,1,,-,,
E.N. CENTRAL,2014,2,,-,0,,11,,,-,,-,,,
W.N. CENTRAL,2014,2,,-,0,,1,,,-,,-,-,,
S. ATLANTIC,2014,2,,-,0,,2,,,-,,-,-,,
E.S. CENTRAL,2014,2,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,2,,-,0,,1,,,-,,-,-,,
MOUNTAIN,2014,2,,-,0,,0,,,-,,-,,,
PACIFIC,2014,2,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,3,1,,14,,132,,2,,8,,,,
NEW ENGLAND,2014,3,1,,3,,69,,2,,6,,,,
MID. ATLANTIC,2014,3,,-,7,,56,,,-,1,,-,,
W.S. CENTRAL,2014,8,,-,0,,1,,,-,,-,,,
E.N. CENTRAL,2014,3,,-,0,,11,,,-,,-,,,
W.N. CENTRAL,2014,3,,-,0,,1,,,-,,-,-,,
S. ATLANTIC,2014,3,,-,0,,2,,,-,,-,-,,
E.S. CENTRAL,2014,3,,-,0,,0,,,-,,-,-,,
S. ATLANTIC,2014,12,,-,0,,2,,,-,1,,,,
W.S. CENTRAL,2014,3,,-,0,,1,,,-,,-,-,,
MOUNTAIN,2014,3,,-,0,,0,,,-,,-,,,
PACIFIC,2014,3,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,4,1,,14,,132,,3,,9,,,,
NEW ENGLAND,2014,4,1,,3,,70,,3,,6,,,,
MID. ATLANTIC,2014,4,,-,7,,56,,,-,2,,-,,
E.N. CENTRAL,2014,4,,-,0,,11,,,-,,-,,,
W.N. CENTRAL,2014,4,,-,0,,1,,,-,,-,-,,
S. ATLANTIC,2014,4,,-,0,,2,,,-,,-,,,
E.S. CENTRAL,2014,4,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,4,,-,0,,1,,,-,,-,-,,
MOUNTAIN,2014,4,,-,0,,0,,,-,,-,,,
PACIFIC,2014,4,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,5,1,,14,,132,,5,,9,,,,
NEW ENGLAND,2014,5,1,,3,,70,,5,,6,,,,
MID. ATLANTIC,2014,5,,-,7,,56,,,-,2,,-,,
E.N. CENTRAL,2014,5,,-,0,,11,,,-,,-,,,
W.N. CENTRAL,2014,5,,-,0,,1,,,-,,-,-,,
S. ATLANTIC,2014,5,,-,0,,2,,,-,,-,,,
E.S. CENTRAL,2014,5,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,5,,-,0,,1,,,-,,-,-,,
MOUNTAIN,2014,5,,-,0,,0,,,-,,-,,,
PACIFIC,2014,5,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,6,,-,14,,132,,5,,11,,,,
NEW ENGLAND,2014,6,,-,3,,70,,5,,7,,,,
MID. ATLANTIC,2014,6,,-,7,,56,,,-,3,,-,,
E.N. CENTRAL,2014,6,,-,0,,11,,,-,,-,,,
W.N. CENTRAL,2014,6,,-,0,,1,,,-,,-,-,,
S. ATLANTIC,2014,6,,-,0,,2,,,-,,-,,,
E.S. CENTRAL,2014,6,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,6,,-,0,,1,,,-,,-,-,,
MOUNTAIN,2014,6,,-,0,,0,,,-,,-,,,
PACIFIC,2014,6,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,7,1,,15,,139,,6,,12,,,,
NEW ENGLAND,2014,7,,-,4,,75,,5,,8,,,,
MID. ATLANTIC,2014,7,1,,7,,56,,1,,3,,-,,
E.N. CENTRAL,2014,7,,-,0,,11,,,-,,-,,,
W.N. CENTRAL,2014,7,,-,0,,1,,,-,,-,-,,
S. ATLANTIC,2014,7,,-,0,,2,,,-,,-,,,
E.S. CENTRAL,2014,7,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,7,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,7,,-,0,,0,,,-,,-,,,
PACIFIC,2014,7,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,8,3,,15,,140,,10,,13,,,,
NEW ENGLAND,2014,8,,-,4,,79,,5,,8,,,,
MID. ATLANTIC,2014,8,3,,7,,56,,5,,4,,-,,
E.N. CENTRAL,2014,8,,-,0,,11,,,-,,-,,,
W.N. CENTRAL,2014,8,,-,0,,1,,,-,,-,-,,
S. ATLANTIC,2014,8,,-,0,,2,,,-,,-,,,
E.S. CENTRAL,2014,8,,-,0,,0,,,-,,-,-,,
MOUNTAIN,2014,8,,-,0,,0,,,-,,-,,,
PACIFIC,2014,8,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,9,,-,15,,140,,11,,19,,,,
NEW ENGLAND,2014,9,,-,4,,79,,6,,12,,,,
PACIFIC,2014,12,,-,0,,2,,,-,1,,,,
MID. ATLANTIC,2014,9,,-,7,,56,,5,,5,,-,,
E.N. CENTRAL,2014,9,,-,0,,11,,,-,,-,,,
W.N. CENTRAL,2014,9,,-,0,,1,,,-,,-,,,
S. ATLANTIC,2014,9,,-,0,,2,,,-,1,,,,
E.S. CENTRAL,2014,9,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,9,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,9,,-,0,,0,,,-,,-,,,
PACIFIC,2014,9,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,10,1,,15,,141,,12,,22,,,,
NEW ENGLAND,2014,10,,-,4,,81,,6,,13,,,,
MID. ATLANTIC,2014,10,1,,7,,56,,6,,6,,-,,
AMER. SAMOA,2014,33,,N,,-,,-,,N,,N,N,"AMER. SAMOA
",
E.N. CENTRAL,2014,10,,-,0,,11,,,-,1,,,,
W.N. CENTRAL,2014,10,,-,0,,1,,,-,,-,,,
S. ATLANTIC,2014,10,,-,0,,2,,,-,1,,,,
E.S. CENTRAL,2014,10,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,10,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,10,,-,0,,0,,,-,,-,,,
PACIFIC,2014,10,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,11,,-,15,,141,,17,,24,,,,
NEW ENGLAND,2014,11,,-,4,,82,,11,,14,,,,
MID. ATLANTIC,2014,11,,-,7,,56,,6,,7,,-,,
E.N. CENTRAL,2014,11,,-,0,,11,,,-,1,,,,
W.N. CENTRAL,2014,11,,-,0,,1,,,-,,-,,,
S. ATLANTIC,2014,11,,-,0,,2,,,-,1,,,,
E.S. CENTRAL,2014,11,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,11,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,11,,-,0,,0,,,-,,-,,,
PACIFIC,2014,11,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,12,1,,15,,141,,18,,26,,,,
NEW ENGLAND,2014,12,1,,4,,82,,12,,15,,,,
MID. ATLANTIC,2014,12,,-,7,,56,,6,,8,,-,,
E.N. CENTRAL,2014,12,,-,0,,11,,,-,1,,,,
W.N. CENTRAL,2014,12,,-,0,,1,,,-,,-,,,
E.S. CENTRAL,2014,12,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,12,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,12,,-,0,,0,,,-,,-,,,
UNITED STATES,2014,13,,-,15,,141,,20,,28,,,,
NEW ENGLAND,2014,13,,-,4,,82,,13,,17,,,,
MID. ATLANTIC,2014,13,,-,7,,56,,7,,8,,-,,
E.N. CENTRAL,2014,13,,-,0,,11,,,-,1,,,,
W.N. CENTRAL,2014,13,,-,0,,1,,,-,,-,,,
S. ATLANTIC,2014,13,,-,0,,2,,,-,1,,,,
E.S. CENTRAL,2014,13,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,13,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,13,,-,0,,0,,,-,,-,,,
PACIFIC,2014,13,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,14,,-,15,,141,,20,,29,,,,
NEW ENGLAND,2014,14,,-,4,,82,,13,,18,,,,
MID. ATLANTIC,2014,14,,-,7,,56,,7,,8,,-,,
E.N. CENTRAL,2014,14,,-,0,,11,,,-,1,,,,
W.N. CENTRAL,2014,14,,-,0,,1,,,-,,-,,,
S. ATLANTIC,2014,14,,-,0,,2,,,-,1,,,,
E.S. CENTRAL,2014,14,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,14,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,14,,-,0,,0,,,-,,-,,,
PACIFIC,2014,14,,-,0,,2,,,-,1,,,,
