Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2014","Chlamydia trachomatis infection, Cum 2014, flag","Chlamydia trachomatis infection, Cum 2013","Chlamydia trachomatis infection, Cum 2013, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2014","Coccidioidomycosis, Cum 2014, flag","Coccidioidomycosis, Cum 2013","Coccidioidomycosis, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,9183,,26409,,29519,,9183,,20449,,13,,206,,290,,13,,166,,,
NEW ENGLAND,2014,1,315,,928,,1163,,315,,719,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2014,1,933,,3409,,3740,,933,,1869,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,1,505,,3886,,4698,,505,,2637,,,-,0,,2,,,-,1,,,
W.N. CENTRAL,2014,1,72,,1510,,1753,,72,,983,,,-,1,,7,,,-,,-,,
S. ATLANTIC,2014,1,3626,,5383,,6568,,3626,,3605,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2014,1,586,,1817,,2206,,586,,1113,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,1,1621,,3493,,5271,,1621,,5271,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,1,625,,1681,,2265,,625,,1162,,4,,132,,230,,4,,103,,,
PACIFIC,2014,1,900,,4256,,5263,,900,,3090,,9,,63,,90,,9,,62,,,
UNITED STATES,2014,2,12163,,26436,,29501,,25738,,48440,,27,,206,,290,,42,,401,,,
NEW ENGLAND,2014,2,339,,928,,1163,,664,,1661,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2014,2,1867,,3410,,3739,,3159,,5139,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,2,924,,3890,,4698,,2109,,7160,,,-,0,,2,,1,,2,,,
W.N. CENTRAL,2014,2,244,,1510,,1753,,731,,2680,,,-,1,,7,,,-,,-,,
S. ATLANTIC,2014,2,3295,,5410,,6559,,7356,,9360,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2014,2,913,,1823,,2203,,1739,,2551,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,2,1676,,3467,,4312,,3927,,8676,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,2,871,,1682,,2276,,2195,,2838,,18,,132,,227,,23,,262,,,
PACIFIC,2014,2,2034,,4256,,5275,,3858,,8375,,9,,63,,90,,18,,137,,,
UNITED STATES,2014,3,10630,,26514,,29510,,43536,,77973,,70,,205,,291,,287,,735,,,
NEW ENGLAND,2014,3,510,,915,,1163,,1395,,2824,,,-,0,,1,,,-,1,,,
MID. ATLANTIC,2014,3,2405,,3409,,3733,,7176,,8774,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,8,2179,,3598,,4346,,21079,,29996,,,-,0,,1,,,-,1,,,
E.N. CENTRAL,2014,3,1204,,3889,,4698,,4291,,11861,,,-,0,,2,,1,,3,,,
W.N. CENTRAL,2014,3,198,,1509,,1753,,1431,,4422,,,-,1,,7,,,-,,-,,
S. ATLANTIC,2014,3,2706,,5358,,6549,,11031,,15587,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2014,3,748,,1823,,2203,,2743,,4581,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2014,12,3252,,5378,,6724,,58344,,66163,,,-,0,,1,,1,,1,,,
W.S. CENTRAL,2014,3,87,,3507,,4309,,4014,,11865,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,3,865,,1692,,2282,,4183,,4579,,63,,131,,226,,254,,535,,,
PACIFIC,2014,3,1907,,4255,,5096,,7272,,13480,,7,,62,,90,,32,,196,,,
UNITED STATES,2014,4,8724,,26542,,29043,,64289,,103741,,104,,202,,291,,592,,994,,,
NEW ENGLAND,2014,4,,-,900,,1155,,1467,,3696,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,4,2182,,3394,,3734,,10516,,12140,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,4,1131,,3848,,4424,,6770,,16098,,,-,0,,2,,3,,3,,,
W.N. CENTRAL,2014,4,345,,1541,,1753,,3077,,5892,,1,,1,,7,,1,,,-,,
S. ATLANTIC,2014,4,2385,,5371,,6540,,15085,,20622,,,-,0,,1,,,-,1,,,
E.S. CENTRAL,2014,4,453,,1817,,2203,,3814,,6114,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,4,29,,3511,,4309,,7077,,15436,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,4,787,,1693,,2290,,6187,,5926,,69,,133,,229,,513,,740,,,
PACIFIC,2014,4,1412,,4227,,4717,,10296,,17817,,34,,62,,90,,75,,249,,,
UNITED STATES,2014,5,11731,,27655,,30333,,86996,,138882,,44,,206,,296,,684,,1188,,,
NEW ENGLAND,2014,5,586,,900,,1155,,2371,,4839,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,5,2608,,3410,,3737,,14199,,15839,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,5,1314,,4898,,5703,,10915,,26597,,2,,0,,2,,6,,3,,,
W.N. CENTRAL,2014,5,314,,1541,,1753,,4239,,7610,,,-,1,,7,,1,,,-,,
S. ATLANTIC,2014,5,3474,,5385,,6543,,20476,,26872,,1,,0,,1,,1,,1,,,
E.S. CENTRAL,2014,5,908,,1817,,2203,,5360,,8140,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,5,68,,3498,,4309,,7338,,18910,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,5,947,,1699,,2295,,8345,,7535,,5,,132,,229,,550,,859,,,
PACIFIC,2014,5,1512,,4191,,4718,,13753,,22540,,36,,64,,90,,126,,324,,,
UNITED STATES,2014,6,12429,,27644,,29675,,111485,,167825,,18,,204,,300,,720,,1406,,,
NEW ENGLAND,2014,6,530,,903,,1155,,3316,,5480,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,6,2080,,3394,,3739,,17280,,19232,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,6,1394,,4880,,5614,,14765,,32218,,,-,0,,3,,8,,3,,,
W.N. CENTRAL,2014,6,328,,1539,,1753,,5871,,9363,,1,,1,,7,,3,,,-,,
S. ATLANTIC,2014,6,4221,,5370,,6543,,25785,,32482,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,6,562,,1812,,2216,,7617,,10343,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,6,525,,3501,,4308,,8487,,22561,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,6,860,,1706,,2297,,10604,,9272,,2,,131,,229,,556,,1012,,,
PACIFIC,2014,6,1929,,4192,,4583,,17760,,26874,,15,,65,,90,,152,,389,,,
UNITED STATES,2014,7,11336,,27697,,29767,,140386,,196058,,38,,200,,308,,834,,1624,,,
NEW ENGLAND,2014,7,521,,911,,1155,,4247,,6492,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,7,1928,,3410,,3740,,20395,,22701,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,7,1371,,4842,,5583,,18455,,37768,,,-,0,,3,,9,,3,,,
W.N. CENTRAL,2014,7,306,,1566,,1819,,6902,,10874,,,-,1,,7,,3,,,-,,
S. ATLANTIC,2014,7,3427,,5375,,6543,,31115,,37856,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,7,1160,,1789,,2216,,9080,,12312,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,7,394,,3611,,4326,,16227,,26156,,,-,0,,1,,,-,1,,,
MOUNTAIN,2014,7,466,,1704,,2293,,12579,,10959,,7,,128,,230,,628,,1157,,,
PACIFIC,2014,7,1763,,4175,,4583,,21386,,30940,,31,,67,,91,,193,,461,,,
UNITED STATES,2014,8,11741,,27683,,29773,,161849,,223470,,21,,197,,307,,896,,1803,,,
NEW ENGLAND,2014,8,520,,900,,1155,,4907,,7353,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,8,2110,,3378,,3732,,23507,,26048,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,8,1244,,4834,,5594,,21858,,42821,,,-,0,,3,,9,,3,,,
W.N. CENTRAL,2014,8,118,,1566,,1819,,8031,,12262,,1,,1,,7,,4,,,-,,
S. ATLANTIC,2014,8,3562,,5385,,6543,,35677,,43358,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,8,949,,1789,,2216,,11003,,14208,,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,8,424,,1704,,2294,,13517,,12545,,20,,124,,229,,689,,1293,,,
PACIFIC,2014,8,635,,4175,,4583,,22270,,34879,,,-,67,,91,,193,,504,,,
UNITED STATES,2014,9,12996,,26748,,28838,,187840,,241694,,3,,197,,311,,949,,1960,,,
NEW ENGLAND,2014,9,632,,900,,1155,,6164,,8394,,,-,0,,0,,,-,1,,,
PACIFIC,2014,12,2129,,4212,,4645,,40857,,52030,,28,,65,,92,,362,,757,,,
MID. ATLANTIC,2014,9,2302,,3375,,3730,,26881,,29733,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,9,1292,,3847,,4410,,25134,,37065,,,-,0,,3,,11,,3,,,
W.N. CENTRAL,2014,9,291,,1565,,1814,,10116,,13644,,,-,1,,7,,4,,1,,,
S. ATLANTIC,2014,9,5350,,5359,,6544,,42034,,49244,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,9,570,,1765,,2216,,11929,,15874,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,9,16,,3559,,4346,,21259,,33866,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,9,498,,1704,,2296,,15474,,14509,,,-,123,,229,,690,,1371,,,
PACIFIC,2014,9,2045,,4233,,4645,,28849,,39365,,3,,67,,91,,243,,581,,,
UNITED STATES,2014,10,15078,,26725,,28871,,215669,,270051,,42,,186,,298,,981,,2059,,,
NEW ENGLAND,2014,10,489,,891,,1155,,6692,,9476,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,10,2256,,3355,,3731,,30217,,33205,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2014,33,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
E.N. CENTRAL,2014,10,1095,,3856,,4418,,28485,,41256,,,-,0,,3,,11,,3,,,
W.N. CENTRAL,2014,10,220,,1565,,1814,,11406,,15128,,,-,1,,7,,4,,1,,,
S. ATLANTIC,2014,10,4806,,5359,,6545,,48287,,54707,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,10,1236,,1751,,2216,,12937,,17857,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,10,2245,,3524,,4387,,27051,,38190,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,10,769,,1703,,2321,,17870,,16438,,33,,109,,216,,690,,1396,,,
PACIFIC,2014,10,1962,,4227,,4656,,32724,,43794,,9,,67,,91,,275,,655,,,
UNITED STATES,2014,11,14935,,26725,,28947,,239924,,297447,,25,,178,,295,,1011,,2171,,,
NEW ENGLAND,2014,11,717,,890,,1156,,8149,,10363,,,-,0,,0,,,-,1,,,
