 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Giardiasis, Cum 2015","Giardiasis, Cum 2015, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Gonorrhea, Cum 2015","Gonorrhea, Cum 2015, flag","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2016, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,84,,227,,335,,84,,189,,3871,,7155,,8306,,3871,,6941,,55,,69,,128,,55,,128,,,
NEW ENGLAND,2016,1,10,,20,,40,,10,,16,,52,,136,,196,,52,,119,,2,,5,,10,,2,,6,,,
MID. ATLANTIC,2016,1,22,,47,,74,,22,,40,,510,,876,,1036,,510,,816,,7,,11,,18,,7,,16,,,
NEW YORK CITY,2016,1,13,,16,,29,,13,,12,,96,,329,,399,,96,,379,,2,,1,,6,,2,,3,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,11,,25,,58,,11,,22,,468,,1014,,1288,,468,,1037,,13,,13,,27,,13,,27,,,
W.N. CENTRAL,2016,1,4,,9,,30,,4,,8,,224,,402,,479,,224,,416,,,-,3,,12,,,-,11,,,
S. ATLANTIC,2016,1,17,,41,,64,,17,,34,,638,,1612,,2227,,638,,1305,,16,,17,,67,,16,,29,,,
DIST. OF COL.,2016,1,,-,0,,4,,,-,,-,,-,45,,137,,,-,28,,,-,0,,3,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,2,,3,,10,,2,,3,,52,,424,,646,,52,,309,,9,,5,,15,,9,,15,,,
W.S. CENTRAL,2016,1,1,,6,,15,,1,,3,,1024,,1056,,1786,,1024,,1172,,1,,4,,11,,1,,6,,,
MOUNTAIN,2016,1,5,,17,,49,,5,,12,,142,,377,,523,,142,,444,,6,,8,,15,,6,,15,,,
PACIFIC,2016,1,12,,58,,89,,12,,51,,761,,1276,,1570,,761,,1323,,1,,3,,11,,1,,3,,,
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,1,,6,,,-,,-,,N,0,,0,,,N,,N,"VIRGIN ISL.
",
MASSACHUSETTS,2016,1,8,,13,,26,,8,,8,,52,,74,,109,,52,,81,,2,,2,,7,,2,,2,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSISSIPPI,2016,1,,N,0,,0,,,N,,N,,-,71,,238,,,-,2,,1,,1,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
INDIANA,2016,1,,-,3,,11,,,-,,-,125,,144,,304,,125,,155,,,-,2,,5,,,-,2,,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2016,1,,-,0,,10,,,-,3,,185,,174,,227,,185,,166,,,-,0,,3,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
LOUISIANA,2016,1,,-,3,,11,,,-,2,,272,,148,,764,,272,,42,,,-,1,,5,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
TENNESSEE,2016,1,,N,0,,0,,,N,,N,52,,146,,242,,52,,146,,8,,3,,9,,8,,7,,"TENNESSEE
(35.681402, -85.774444)",
NEBRASKA,2016,1,4,,2,,9,,4,,2,,19,,31,,64,,19,,52,,,-,0,,3,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2016,1,2,,3,,10,,2,,3,,,-,126,,250,,,-,143,,,-,1,,6,,,-,3,,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2016,1,,N,0,,0,,,N,,N,749,,749,,1417,,749,,1015,,,-,0,,2,,,-,2,,"TEXAS
(31.827233, -99.423022)",
COLORADO,2016,1,,-,6,,20,,,-,,-,101,,83,,172,,101,,83,,,-,2,,5,,,-,5,,"COLORADO
(38.841772, -106.132562)",
NEW YORK,2016,1,5,,15,,33,,5,,7,,57,,169,,237,,57,,64,,2,,3,,11,,2,,2,,"NEW YORK
(42.826892, -75.544286)",
MARYLAND,2016,1,4,,5,,13,,4,,7,,,-,118,,189,,,-,22,,6,,1,,6,,6,,4,,"MARYLAND
(39.290443, -76.612333)",
ARIZONA,2016,1,2,,2,,8,,2,,1,,,-,151,,206,,,-,127,,5,,2,,8,,5,,5,,"ARIZONA
(34.869712, -111.760902)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
