Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2015","Hepatitis (viral, acute), type A, Cum 2015, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2015","Hepatitis (viral, acute), type B, Cum 2015, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2015","Hepatitis (viral, acute), type C, Cum 2015, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,9,,21,,34,,9,,10,,21,,50,,116,,21,,45,,,11,36,,57,,11,,19,,,
NEW ENGLAND,2015,1,,-,1,,7,,,-,2,,,-,1,,3,,,-,2,,-,,4,,11,,,-,1,,,
MID. ATLANTIC,2015,1,2,,2,,8,,2,,1,,2,,3,,9,,2,,6,,,3,4,,12,,3,,2,,,
E.N. CENTRAL,2015,1,1,,3,,10,,1,,3,,3,,7,,62,,3,,11,,,1,6,,15,,1,,5,,,
W.N. CENTRAL,2015,1,,-,1,,5,,,-,1,,,-,1,,4,,,-,1,,-,,0,,3,,,-,1,,,
S. ATLANTIC,2015,1,5,,4,,9,,5,,,-,6,,16,,28,,6,,15,,,3,6,,23,,3,,2,,,
DIST. OF COL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,-,,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,,-,1,,3,,,-,1,,8,,10,,17,,8,,5,,,3,6,,11,,3,,3,,,
W.S. CENTRAL,2015,1,,-,2,,8,,,-,,-,2,,5,,11,,2,,2,,,1,2,,10,,1,,,-,,
MOUNTAIN,2015,1,1,,1,,4,,1,,2,,,-,1,,5,,,-,1,,-,,2,,6,,,-,2,,,
PACIFIC,2015,1,,-,3,,7,,,-,,-,,-,3,,7,,,-,2,,-,,3,,8,,,-,3,,,
AMER. SAMOA,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,-,,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,-,,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,-,,0,,0,,,-,,-,"VIRGIN ISL.
",
UTAH,2015,1,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,-,,1,,2,,,-,1,,"UTAH
(39.36070123200005, -111.58712831499997)",
RHODE ISLAND,2015,1,,-,0,,1,,,-,,-,,U,0,,0,,,U,,U,U,,0,,0,,,U,,U,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
CONNECTICUT,2015,1,,-,0,,3,,,-,1,,,-,0,,2,,,-,2,,-,,0,,1,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
LOUISIANA,2015,1,,-,0,,2,,,-,,-,2,,1,,4,,2,,2,,,1,0,,3,,1,,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
OKLAHOMA,2015,1,,-,0,,3,,,-,,-,,-,0,,10,,,-,,-,-,,0,,8,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MARYLAND,2015,1,,-,0,,3,,,-,,-,2,,1,,4,,2,,1,,-,,1,,3,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
WISCONSIN,2015,1,,-,0,,1,,,-,,-,,-,0,,57,,,-,,-,-,,0,,2,,,-,1,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
DELAWARE,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,U,,0,,0,,,U,,U,"DELAWARE
(39.00883389200004, -75.57773597599999)",
OREGON,2015,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,-,,0,,2,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
KANSAS,2015,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,-,,0,,3,,,-,1,,"KANSAS
(38.347742794000055, -98.20077822999997)",
NEW HAMPSHIRE,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,N,,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
IDAHO,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,-,,0,,3,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
MINNESOTA,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,-,,0,,1,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
MICHIGAN,2015,1,,-,1,,4,,,-,1,,,-,1,,4,,,-,,-,,1,2,,8,,1,,1,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
WEST VIRGINIA,2015,1,,-,0,,1,,,-,,-,,-,3,,9,,,-,4,,-,,1,,6,,,-,2,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
MONTANA,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,-,,0,,2,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
INDIANA,2015,1,,-,0,,3,,,-,,-,,-,1,,7,,,-,2,,-,,1,,6,,,-,3,,"INDIANA
(39.766913353000064, -86.14995646699998)",
MISSISSIPPI,2015,1,,-,0,,1,,,-,,-,2,,1,,4,,2,,,-,U,,0,,0,,,U,,U,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,-,,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
ALASKA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,-,,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
ARIZONA,2015,1,1,,0,,3,,1,,,-,,-,0,,1,,,-,,-,U,,0,,0,,,U,,U,"ARIZONA
(34.86597351900008, -111.76380664699997)",
