Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2016","Hepatitis (viral, acute), type A, Cum 2016, flag","Hepatitis (viral, acute), type A, Cum 2015","Hepatitis (viral, acute), type A, Cum 2015, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2016","Hepatitis (viral, acute), type B, Cum 2016, flag","Hepatitis (viral, acute), type B, Cum 2015","Hepatitis (viral, acute), type B, Cum 2015, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2016","Hepatitis (viral, acute), type C, Cum 2016, flag","Hepatitis (viral, acute), type C, Cum 2015","Hepatitis (viral, acute), type C, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,9,,26,,36,,9,,23,,20,,60,,137,,20,,41,,9,,37,,72,,9,,39,,,
NEW ENGLAND,2016,1,1,,1,,3,,1,,1,,,-,0,,3,,,-,,-,1,,5,,10,,1,,5,,,
MID. ATLANTIC,2016,1,2,,4,,9,,2,,2,,2,,4,,10,,2,,2,,3,,5,,17,,3,,5,,,
NEW YORK CITY,2016,1,1,,1,,5,,1,,,-,1,,1,,4,,1,,2,,,-,0,,5,,,-,1,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,,-,3,,12,,,-,5,,5,,11,,79,,5,,6,,1,,7,,14,,1,,5,,,
W.N. CENTRAL,2016,1,,-,1,,4,,,-,,-,,-,1,,4,,,-,,-,,-,1,,7,,,-,1,,,
S. ATLANTIC,2016,1,3,,5,,13,,3,,5,,8,,20,,36,,8,,11,,1,,7,,34,,1,,5,,,
DIST. OF COL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
E.S. CENTRAL,2016,1,1,,1,,5,,1,,2,,4,,10,,16,,4,,14,,3,,6,,14,,3,,8,,,
W.S. CENTRAL,2016,1,,-,3,,7,,,-,,-,,-,6,,15,,,-,7,,,-,2,,6,,,-,5,,,
MOUNTAIN,2016,1,2,,2,,6,,2,,3,,1,,1,,5,,1,,,-,,-,1,,7,,,-,3,,,
PACIFIC,2016,1,,-,4,,11,,,-,5,,,-,4,,9,,,-,1,,,-,2,,6,,,-,2,,,
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
VIRGINIA,2016,1,,-,1,,4,,,-,1,,,-,1,,4,,,-,,-,,-,1,,3,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
SOUTH DAKOTA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
TEXAS,2016,1,,-,2,,7,,,-,,-,,-,3,,9,,,-,,-,,-,1,,4,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MAINE,2016,1,1,,0,,1,,1,,,-,,-,0,,1,,,-,,-,,-,1,,3,,,-,1,,"MAINE
(45.252223, -68.986647)",
UTAH,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,1,,"UTAH
(39.359772, -111.584173)",
MICHIGAN,2016,1,,-,1,,4,,,-,1,,,-,1,,4,,,-,,-,,-,2,,7,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW MEXICO,2016,1,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
WASHINGTON,2016,1,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,,-,1,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
ALASKA,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MASSACHUSETTS,2016,1,,-,1,,3,,,-,1,,,-,0,,2,,,-,,-,,-,4,,9,,,-,4,,"MASSACHUSETTS
(42.268546, -72.085064)",
PUERTO RICO,2016,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
RHODE ISLAND,2016,1,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
TENNESSEE,2016,1,,-,0,,2,,,-,,-,3,,5,,10,,3,,6,,3,,3,,9,,3,,5,,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2016,1,1,,1,,4,,1,,1,,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,"ARIZONA
(34.869712, -111.760902)",
C.N.M.I.,2016,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
WISCONSIN,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
WEST VIRGINIA,2016,1,,-,0,,2,,,-,,-,,-,4,,12,,,-,4,,,-,1,,4,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
CONNECTICUT,2016,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
VERMONT,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,0,,1,,1,,,-,"VERMONT
(43.622479, -72.51927)",
NEW YORK,2016,1,1,,0,,5,,1,,2,,,-,0,,3,,,-,,-,2,,2,,5,,2,,1,,"NEW YORK
(42.826892, -75.544286)",
OREGON,2016,1,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,1,,"OREGON
(44.567912, -120.156945)",
WYOMING,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
HAWAII,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
IOWA,2016,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
KANSAS,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,5,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ALABAMA,2016,1,1,,0,,3,,1,,2,,1,,2,,6,,1,,3,,,-,1,,6,,,-,1,,"ALABAMA
(32.839182, -86.631125)",
LOUISIANA,2016,1,,-,0,,2,,,-,,-,,-,2,,7,,,-,7,,,-,0,,5,,,-,5,,"LOUISIANA
(31.2931, -92.463284)",
GEORGIA,2016,1,1,,1,,6,,1,,1,,1,,2,,5,,1,,1,,,-,1,,3,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MARYLAND,2016,1,,-,0,,2,,,-,,-,,-,1,,4,,,-,2,,,-,0,,4,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2016,1,,-,0,,3,,,-,,-,,-,0,,10,,,-,,-,,-,0,,3,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2016,1,1,,2,,8,,1,,2,,6,,9,,15,,6,,1,,1,,2,,6,,1,,1,,"FLORIDA
(28.915325, -81.922409)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OHIO,2016,1,,-,0,,5,,,-,1,,5,,6,,75,,5,,3,,1,,2,,7,,1,,1,,"OHIO
(40.056807, -82.405897)",
CALIFORNIA,2016,1,,-,3,,10,,,-,5,,,-,3,,7,,,-,1,,,-,1,,4,,,-,1,,"CALIFORNIA
(37.640735, -121.002435)",
NEW JERSEY,2016,1,,-,1,,3,,,-,,-,,-,1,,5,,,-,,-,,-,1,,6,,,-,2,,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,U,0,,0,,,U,,U,"DELAWARE
(39.008676, -75.574561)",
MISSOURI,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,"MINNESOTA
(44.943719, -93.094281)",
PENNSYLVANIA,2016,1,,-,1,,4,,,-,,-,1,,1,,4,,1,,,-,1,,2,,6,,1,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
ARKANSAS,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NORTH DAKOTA,2016,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSISSIPPI,2016,1,,-,0,,1,,,-,,-,,-,1,,4,,,-,3,,,U,0,,0,,,U,,U,"MISSISSIPPI
(32.738663, -89.537312)",
ILLINOIS,2016,1,,-,1,,9,,,-,3,,,-,1,,4,,,-,3,,,-,0,,3,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
KENTUCKY,2016,1,,-,0,,2,,,-,,-,,-,2,,8,,,-,2,,,-,2,,6,,,-,2,,"KENTUCKY
(37.64591, -84.774043)",
COLORADO,2016,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,4,,,-,1,,"COLORADO
(38.841772, -106.132562)",
NEBRASKA,2016,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"NEVADA
(39.491833, -117.070159)",
INDIANA,2016,1,,-,0,,2,,,-,,-,,-,2,,7,,,-,,-,,-,1,,6,,,-,2,,"INDIANA
(39.76845, -86.156212)",
NEW HAMPSHIRE,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH CAROLINA,2016,1,1,,0,,3,,1,,,-,1,,0,,2,,1,,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
IDAHO,2016,1,1,,0,,2,,1,,,-,1,,0,,1,,1,,,-,,-,0,,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NORTH CAROLINA,2016,1,,-,1,,3,,,-,1,,,-,1,,19,,,-,3,,,-,0,,26,,,-,2,,"NORTH CAROLINA
(35.47995, -79.180571)",
UNITED STATES,2016,2,12,,26,,36,,23,,44,,16,,60,,137,,38,,91,,7,,37,,72,,22,,69,,,
NEW ENGLAND,2016,2,,-,1,,3,,1,,2,,,-,0,,3,,,-,,-,,-,4,,10,,1,,12,,,
MID. ATLANTIC,2016,2,1,,4,,9,,3,,7,,,-,4,,10,,2,,5,,,-,5,,17,,3,,8,,,
NEW YORK CITY,2016,2,,-,1,,5,,1,,,-,,-,1,,4,,1,,2,,,-,0,,5,,,-,1,,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,,-,3,,12,,,-,9,,8,,11,,79,,13,,18,,1,,6,,14,,4,,10,,,
W.N. CENTRAL,2016,2,,-,1,,4,,,-,1,,,-,1,,4,,,-,2,,1,,1,,7,,2,,1,,,
S. ATLANTIC,2016,2,7,,5,,13,,12,,10,,8,,20,,36,,18,,24,,5,,7,,34,,7,,8,,,
DIST. OF COL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,,-,1,,5,,1,,3,,,-,10,,16,,4,,25,,,-,6,,14,,5,,18,,,
W.S. CENTRAL,2016,2,1,,3,,7,,1,,1,,,-,6,,15,,,-,13,,,-,2,,6,,,-,6,,,
MOUNTAIN,2016,2,2,,2,,6,,4,,5,,,-,1,,5,,1,,1,,,-,1,,7,,,-,3,,,
PACIFIC,2016,2,1,,4,,11,,1,,6,,,-,4,,9,,,-,3,,,-,2,,7,,,-,3,,,
AMER. SAMOA,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
CALIFORNIA,2016,2,,-,3,,10,,,-,6,,,-,3,,7,,,-,1,,,-,1,,4,,,-,2,,"CALIFORNIA
(37.640735, -121.002435)",
IDAHO,2016,2,,-,0,,2,,1,,1,,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MISSISSIPPI,2016,2,,-,0,,1,,,-,,-,,-,1,,4,,,-,6,,,U,0,,0,,,U,,U,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK,2016,2,1,,0,,6,,2,,2,,,-,0,,3,,,-,1,,,-,2,,5,,2,,3,,"NEW YORK
(42.826892, -75.544286)",
MINNESOTA,2016,2,,-,0,,2,,,-,1,,,-,0,,2,,,-,1,,,-,0,,2,,,-,1,,"MINNESOTA
(44.943719, -93.094281)",
TEXAS,2016,2,1,,2,,7,,1,,1,,,-,3,,9,,,-,4,,,-,1,,4,,,-,,-,"TEXAS
(31.827233, -99.423022)",
VIRGINIA,2016,2,1,,1,,4,,1,,1,,,-,1,,7,,1,,1,,,-,1,,3,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
NEBRASKA,2016,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,1,,0,,1,,2,,,-,"NEBRASKA
(41.640503, -99.367122)",
FLORIDA,2016,2,4,,2,,8,,6,,4,,7,,9,,15,,13,,6,,5,,2,,6,,6,,3,,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2016,2,,-,1,,9,,,-,4,,,-,1,,4,,,-,3,,,-,0,,2,,,-,2,,"ILLINOIS
(40.477092, -88.993221)",
COLORADO,2016,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,1,,,-,0,,4,,,-,1,,"COLORADO
(38.841772, -106.132562)",
ALABAMA,2016,2,,-,0,,3,,1,,2,,,-,2,,6,,1,,3,,,-,1,,6,,,-,3,,"ALABAMA
(32.839182, -86.631125)",
MISSOURI,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2016,2,,-,0,,1,,,-,1,,,-,0,,4,,,-,4,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
WYOMING,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MARYLAND,2016,2,2,,0,,2,,2,,,-,1,,1,,4,,1,,2,,,-,0,,4,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ARKANSAS,2016,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NORTH CAROLINA,2016,2,,-,1,,3,,,-,3,,,-,1,,19,,,-,3,,,-,0,,26,,,-,2,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW JERSEY,2016,2,,-,1,,3,,,-,3,,,-,1,,5,,,-,1,,,-,1,,6,,,-,2,,"NEW JERSEY
(40.104655, -74.386686)",
INDIANA,2016,2,,-,0,,2,,,-,,-,,-,2,,7,,,-,6,,,-,2,,6,,,-,3,,"INDIANA
(39.76845, -86.156212)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH CAROLINA,2016,2,,-,0,,3,,1,,,-,,-,0,,2,,1,,1,,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
KENTUCKY,2016,2,,-,0,,2,,,-,1,,,-,2,,8,,,-,6,,,-,2,,6,,,-,6,,"KENTUCKY
(37.64591, -84.774043)",
ARIZONA,2016,2,2,,1,,4,,3,,2,,,-,0,,3,,,-,,-,,U,0,,0,,,U,,U,"ARIZONA
(34.869712, -111.760902)",
KANSAS,2016,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,5,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WEST VIRGINIA,2016,2,,-,0,,2,,,-,,-,,-,5,,12,,,-,8,,,-,1,,4,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
CONNECTICUT,2016,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH DAKOTA,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEVADA,2016,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"NEVADA
(39.491833, -117.070159)",
IOWA,2016,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MASSACHUSETTS,2016,2,,-,0,,3,,,-,2,,,-,0,,2,,,-,,-,,-,4,,9,,,-,8,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW HAMPSHIRE,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
RHODE ISLAND,2016,2,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
MONTANA,2016,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
VERMONT,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"VERMONT
(43.622479, -72.51927)",
PENNSYLVANIA,2016,2,,-,1,,4,,,-,2,,,-,1,,4,,1,,1,,,-,2,,6,,1,,2,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW MEXICO,2016,2,,-,0,,1,,,-,2,,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
NORTH DAKOTA,2016,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MICHIGAN,2016,2,,-,1,,4,,,-,2,,1,,1,,4,,1,,1,,1,,2,,7,,3,,1,,"MICHIGAN
(44.66399, -84.711206)",
GEORGIA,2016,2,,-,1,,6,,2,,2,,,-,2,,5,,2,,3,,,-,1,,3,,,-,1,,"GEORGIA
(32.836038, -83.631709)",
UTAH,2016,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,1,,"UTAH
(39.359772, -111.584173)",
WASHINGTON,2016,2,,-,0,,5,,,-,,-,,-,0,,3,,,-,1,,,-,1,,5,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2016,2,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,1,,"OREGON
(44.567912, -120.156945)",
HAWAII,2016,2,1,,0,,2,,1,,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MAINE,2016,2,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,3,,"MAINE
(45.252223, -68.986647)",
OHIO,2016,2,,-,0,,5,,,-,3,,7,,6,,75,,12,,8,,,-,2,,7,,1,,3,,"OHIO
(40.056807, -82.405897)",
DELAWARE,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,U,0,,0,,,U,,U,"DELAWARE
(39.008676, -75.574561)",
TENNESSEE,2016,2,,-,0,,2,,,-,,-,,-,5,,10,,3,,10,,,-,3,,9,,5,,9,,"TENNESSEE
(35.681402, -85.774444)",
ALASKA,2016,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
OKLAHOMA,2016,2,,-,0,,3,,,-,,-,,-,0,,10,,,-,,-,,-,0,,3,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
LOUISIANA,2016,2,,-,0,,2,,,-,,-,,-,2,,7,,,-,9,,,-,0,,4,,,-,6,,"LOUISIANA
(31.2931, -92.463284)",
WISCONSIN,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
UNITED STATES,2016,3,5,,26,,39,,33,,72,,24,,60,,137,,73,,151,,13,,37,,72,,38,,106,,,
NEW ENGLAND,2016,3,1,,1,,3,,2,,2,,,-,0,,3,,,-,1,,,-,4,,10,,1,,17,,,
MID. ATLANTIC,2016,3,1,,4,,9,,5,,9,,2,,4,,10,,4,,11,,5,,5,,17,,8,,13,,,
NEW YORK CITY,2016,3,,-,1,,5,,1,,,-,2,,1,,4,,3,,3,,1,,0,,5,,1,,1,,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,,-,3,,12,,,-,16,,4,,10,,79,,20,,35,,3,,7,,14,,9,,17,,,
W.N. CENTRAL,2016,3,,-,1,,4,,,-,4,,1,,1,,4,,1,,2,,,-,1,,7,,2,,1,,,
S. ATLANTIC,2016,3,1,,5,,13,,14,,16,,13,,20,,36,,35,,38,,4,,7,,34,,11,,13,,,
DIST. OF COL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,1,,1,,5,,3,,6,,2,,10,,21,,7,,39,,1,,6,,14,,7,,27,,,
W.S. CENTRAL,2016,3,,-,3,,7,,2,,1,,,-,6,,15,,2,,15,,,-,2,,6,,,-,10,,,
MOUNTAIN,2016,3,,-,2,,6,,5,,6,,1,,1,,5,,3,,3,,,-,1,,7,,,-,4,,,
PACIFIC,2016,3,1,,4,,11,,2,,12,,1,,4,,9,,1,,7,,,-,2,,7,,,-,4,,,
AMER. SAMOA,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
