Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease, All ages, Current week, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, All ages, Cum 2014","Invasive Pneumococcal disease, All ages, Cum 2014, flag","Invasive Pneumococcal disease, All ages, Cum 2013","Invasive Pneumococcal disease, All ages, Cum 2013, flag","Invasive Pneumococcal disease, Age LT 5, Current week","Invasive Pneumococcal disease, Age LT 5, Current week, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2014","Invasive Pneumococcal disease, Age LT 5, Cum 2014, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2013","Invasive Pneumococcal disease, Age LT 5, Cum 2013, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2014","Legionellosis, Cum 2014, flag","Legionellosis, Cum 2013","Legionellosis, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,169,,266,,606,,169,,530,,6,,19,,35,,6,,25,,16,,58,,258,,16,,56,,,
NEW ENGLAND,2014,1,4,,11,,33,,4,,28,,,-,0,,3,,,-,1,,1,,5,,25,,1,,5,,,
MID. ATLANTIC,2014,1,11,,39,,85,,11,,71,,,-,2,,6,,,-,5,,3,,16,,122,,3,,4,,,
E.N. CENTRAL,2014,1,26,,51,,132,,26,,130,,,-,3,,8,,,-,5,,2,,16,,102,,2,,9,,,
W.N. CENTRAL,2014,1,6,,14,,50,,6,,38,,,-,1,,5,,,-,2,,3,,2,,13,,3,,2,,,
S. ATLANTIC,2014,1,64,,61,,145,,64,,115,,2,,5,,13,,2,,6,,6,,10,,36,,6,,5,,,
E.S. CENTRAL,2014,1,25,,26,,59,,25,,49,,2,,2,,5,,2,,,-,,-,3,,13,,,-,1,,,
W.S. CENTRAL,2014,1,4,,34,,72,,4,,20,,2,,3,,7,,2,,3,,,-,3,,9,,,-,2,,,
MOUNTAIN,2014,1,29,,30,,76,,29,,76,,,-,2,,7,,,-,3,,1,,3,,9,,1,,4,,,
PACIFIC,2014,1,,-,3,,7,,,-,3,,,-,0,,2,,,-,,-,,-,5,,24,,,-,24,,,
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
CONNECTICUT,2014,1,,-,5,,21,,,-,21,,,-,0,,2,,,-,,-,,-,1,,10,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
NEW HAMPSHIRE,2014,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
ARIZONA,2014,1,24,,14,,41,,24,,34,,,-,0,,4,,,-,2,,1,,1,,4,,1,,3,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
SOUTH CAROLINA,2014,1,11,,7,,21,,11,,17,,,-,0,,2,,,-,,-,1,,0,,3,,1,,1,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
MONTANA,2014,1,2,,0,,3,,2,,,-,,N,0,,1,,,N,,N,,-,0,,2,,,-,1,,"MONTANA
(47.066526051000494, -109.42441687999968)",
GEORGIA,2014,1,19,,16,,44,,19,,44,,,-,1,,5,,,-,2,,,-,1,,5,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
NEW YORK,2014,1,4,,19,,38,,4,,5,,,-,1,,4,,,-,,-,,-,6,,40,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
MICHIGAN,2014,1,4,,12,,30,,4,,29,,,-,1,,3,,,-,3,,,-,3,,21,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
OHIO,2014,1,17,,21,,63,,17,,47,,,-,1,,4,,,-,1,,2,,5,,66,,2,,3,,"OHIO
(40.06021029700048, -82.40425685299965)",
INDIANA,2014,1,,-,11,,28,,,-,28,,,-,0,,3,,,-,,-,,-,3,,10,,,-,3,,"INDIANA
(39.76691364600049, -86.14995579899966)",
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
VIRGINIA,2014,1,,N,0,,1,,,N,,N,,-,0,,1,,,-,,-,,-,0,,8,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
WYOMING,2014,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
TEXAS,2014,1,,-,24,,64,,,-,6,,,-,2,,5,,,-,2,,,-,2,,8,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
FLORIDA,2014,1,27,,18,,59,,27,,32,,1,,2,,5,,1,,2,,1,,4,,16,,1,,,-,"FLORIDA
(28.932042899000464, -81.92895558499964)",
