Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,10,,332,,2155,,10,,192,,7,,24,,49,,7,,19,,9,,9,,21,,9,,14,,,
NEW ENGLAND,2014,1,,-,111,,878,,,-,56,,1,,2,,8,,1,,3,,,-,0,,3,,,-,1,,,
MID. ATLANTIC,2014,1,7,,170,,1004,,7,,87,,,-,8,,21,,,-,2,,,-,1,,7,,,-,2,,,
E.N. CENTRAL,2014,1,1,,16,,216,,1,,8,,1,,2,,8,,1,,2,,,-,0,,4,,,-,2,,,
W.N. CENTRAL,2014,1,,-,3,,31,,,-,,-,3,,0,,3,,3,,2,,,-,0,,3,,,-,1,,,
S. ATLANTIC,2014,1,2,,35,,116,,2,,37,,2,,5,,16,,2,,5,,5,,1,,6,,5,,1,,,
E.S. CENTRAL,2014,1,,-,1,,9,,,-,1,,,-,0,,4,,,-,,-,1,,0,,2,,1,,1,,,
W.S. CENTRAL,2014,1,,-,1,,5,,,-,,-,,-,1,,7,,,-,1,,,-,1,,3,,,-,,-,,
MOUNTAIN,2014,1,,-,2,,9,,,-,,-,,-,1,,6,,,-,2,,,-,0,,4,,,-,,-,,
PACIFIC,2014,1,,-,2,,8,,,-,3,,,-,2,,8,,,-,2,,3,,2,,8,,3,,6,,,
MISSOURI,2014,1,,-,0,,3,,,-,,-,1,,0,,1,,1,,1,,,-,0,,2,,,-,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
TEXAS,2014,1,,-,1,,5,,,-,,-,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
LOUISIANA,2014,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
WEST VIRGINIA,2014,1,,-,1,,19,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MISSISSIPPI,2014,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
ALABAMA,2014,1,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
ILLINOIS,2014,1,,-,2,,30,,,-,,-,,-,1,,5,,,-,1,,,-,0,,2,,,-,1,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
VIRGIN ISL.,2014,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
WYOMING,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
AMER. SAMOA,2014,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
VIRGINIA,2014,1,,-,2,,61,,,-,1,,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
CONNECTICUT,2014,1,,-,23,,242,,,-,24,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
UTAH,2014,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
KANSAS,2014,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
NEW YORK CITY,2014,1,,-,1,,39,,,-,,-,,-,4,,13,,,-,2,,,-,0,,2,,,-,1,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
NORTH DAKOTA,2014,1,,-,0,,5,,,-,,-,1,,0,,1,,1,,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
SOUTH DAKOTA,2014,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
COLORADO,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
PENNSYLVANIA,2014,1,7,,80,,540,,7,,36,,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
NEW MEXICO,2014,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
MAINE,2014,1,,-,14,,99,,,-,1,,1,,0,,2,,1,,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
RHODE ISLAND,2014,1,,-,9,,54,,,-,,-,,-,0,,8,,,-,,-,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
NEW YORK,2014,1,,-,43,,257,,,-,4,,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW JERSEY,2014,1,,-,48,,224,,,-,47,,,-,1,,5,,,-,,-,,-,0,,2,,,-,1,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
