Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2015","Lyme disease, Cum 2015, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2015","Malaria, Cum 2015, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Meningococcal disease, invasive, All serogroups, Current week","Meningococcal disease, invasive§, All serogroups, Current week, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive§, All serogroups, Cum 2015","Meningococcal disease, invasive§, All serogroups, Cum 2015, flag","Meningococcal disease, invasive§, All serogroups, Cum 2014","Meningococcal disease, invasive§, All serogroups, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,17,,392,,1819,,17,,156,,6,,25,,51,,6,,19,,3,,7,,16,,3,,17,,,
NEW ENGLAND,2015,1,1,,124,,733,,1,,53,,,-,2,,7,,,-,2,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,1,13,,186,,922,,13,,77,,2,,7,,23,,2,,5,,,-,1,,3,,,-,,-,,
E.N. CENTRAL,2015,1,,-,13,,128,,,-,8,,1,,2,,8,,1,,1,,,-,1,,4,,,-,1,,,
W.N. CENTRAL,2015,1,,-,2,,23,,,-,3,,,-,1,,4,,,-,3,,,-,0,,2,,,-,3,,,
S. ATLANTIC,2015,1,3,,44,,178,,3,,11,,2,,7,,18,,2,,3,,3,,2,,6,,3,,5,,,
DIST. OF COL.,2015,1,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,,-,1,,10,,,-,1,,1,,0,,5,,1,,1,,,-,0,,2,,,-,1,,,
W.S. CENTRAL,2015,1,,-,0,,6,,,-,,-,,-,2,,10,,,-,,-,,-,0,,4,,,-,1,,,
MOUNTAIN,2015,1,,-,1,,7,,,-,1,,,-,1,,6,,,-,1,,,-,0,,3,,,-,3,,,
PACIFIC,2015,1,,-,2,,5,,,-,2,,,-,3,,6,,,-,3,,,-,1,,6,,,-,3,,,
AMER. SAMOA,2015,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
ILLINOIS,2015,1,,-,1,,20,,,-,,-,,-,1,,4,,,-,,-,,-,0,,2,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
SOUTH CAROLINA,2015,1,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
CALIFORNIA,2015,1,,-,0,,3,,,-,1,,,-,1,,4,,,-,3,,,-,1,,5,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
