Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag","Shiga toxin-producing E. coli (STEC)†, Current week","Shiga toxin-producing E. coli (STEC)†, Current week, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2014","Shiga toxin-producing E. coli (STEC)†, Cum 2014, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2013","Shiga toxin-producing E. coli (STEC)†, Cum 2013, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2014","Shigellosis, Cum 2014, flag","Shigellosis, Cum 2013","Shigellosis, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,176,,869,,1513,,176,,406,,10,,110,,232,,10,,59,,202,,187,,351,,202,,132,,,
NEW ENGLAND,2014,1,,-,39,,81,,,-,19,,,-,4,,12,,,-,3,,,-,4,,94,,,-,8,,,
MID. ATLANTIC,2014,1,12,,94,,196,,12,,40,,2,,13,,37,,2,,10,,4,,15,,28,,4,,13,,,
E.N. CENTRAL,2014,1,11,,90,,166,,11,,60,,,-,15,,45,,,-,15,,12,,22,,74,,12,,41,,,
W.N. CENTRAL,2014,1,7,,46,,93,,7,,30,,,-,12,,38,,,-,5,,6,,6,,74,,6,,6,,,
S. ATLANTIC,2014,1,109,,223,,432,,109,,109,,5,,9,,18,,5,,5,,147,,46,,92,,147,,15,,,
E.S. CENTRAL,2014,1,9,,56,,136,,9,,40,,2,,5,,18,,2,,6,,26,,19,,65,,26,,9,,,
W.S. CENTRAL,2014,1,1,,116,,243,,1,,16,,,-,13,,33,,,-,1,,1,,46,,93,,1,,6,,,
MOUNTAIN,2014,1,7,,51,,248,,7,,18,,,-,9,,33,,,-,4,,2,,9,,38,,2,,6,,,
PACIFIC,2014,1,20,,109,,215,,20,,74,,1,,17,,51,,1,,10,,4,,20,,47,,4,,28,,,
SOUTH DAKOTA,2014,1,,-,3,,10,,,-,1,,,-,1,,5,,,-,1,,2,,0,,29,,2,,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
COLORADO,2014,1,,-,6,,27,,,-,4,,,-,0,,11,,,-,,-,,-,1,,5,,,-,1,,"COLORADO
(38.84384047000049, -106.13360888799969)",
WISCONSIN,2014,1,,-,12,,28,,,-,11,,,-,2,,12,,,-,8,,,-,1,,3,,,-,1,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
