Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,176,,869,,1513,,176,,406,,,
NEW ENGLAND,2014,1,,-,39,,81,,,-,19,,,
MID. ATLANTIC,2014,1,12,,94,,196,,12,,40,,,
E.N. CENTRAL,2014,1,11,,90,,166,,11,,60,,,
W.N. CENTRAL,2014,1,7,,46,,93,,7,,30,,,
S. ATLANTIC,2014,1,109,,223,,432,,109,,109,,,
E.S. CENTRAL,2014,1,9,,56,,136,,9,,40,,,
W.S. CENTRAL,2014,1,1,,116,,243,,1,,16,,,
MOUNTAIN,2014,1,7,,51,,248,,7,,18,,,
PACIFIC,2014,1,20,,109,,215,,20,,74,,,
SOUTH DAKOTA,2014,1,,-,3,,10,,,-,1,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
COLORADO,2014,1,,-,6,,27,,,-,4,,"COLORADO
(38.84384047000049, -106.13360888799969)",
WISCONSIN,2014,1,,-,12,,28,,,-,11,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MARYLAND,2014,1,11,,16,,36,,11,,17,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NEW JERSEY,2014,1,,-,18,,46,,,-,11,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
MASSACHUSETTS,2014,1,,-,21,,54,,,-,7,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
MISSISSIPPI,2014,1,2,,13,,41,,2,,12,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
PENNSYLVANIA,2014,1,5,,29,,65,,5,,16,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
ALASKA,2014,1,2,,1,,5,,2,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
NEW MEXICO,2014,1,,-,6,,14,,,-,3,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
