Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2013","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2013, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2013","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2013, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2014","Syphilis, primary and secondary, Cum 2014, flag","Syphilis, primary and secondary, Cum 2013","Syphilis, primary and secondary, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,,-,0,,0,,,-,,-,,-,1,,13,,,-,,-,55,,316,,453,,55,,218,,,
NEW ENGLAND,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,19,,,-,7,,,
MID. ATLANTIC,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,40,,57,,2,,17,,,
E.N. CENTRAL,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,36,,56,,,-,16,,,
W.N. CENTRAL,2014,1,,-,0,,0,,,-,,-,,-,1,,13,,,-,,-,,-,12,,25,,,-,9,,,
S. ATLANTIC,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,17,,74,,148,,17,,42,,,
E.S. CENTRAL,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,11,,18,,1,,11,,,
W.S. CENTRAL,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,41,,64,,9,,35,,,
MOUNTAIN,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,14,,26,,8,,11,,,
PACIFIC,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,18,,76,,111,,18,,70,,,
TENNESSEE,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,8,,1,,3,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
NORTH CAROLINA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,31,,,-,2,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
NORTH DAKOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
SOUTH CAROLINA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,5,,13,,3,,3,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
LOUISIANA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,18,,,-,3,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
ALASKA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
IDAHO,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
PENNSYLVANIA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,8,,16,,2,,4,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
MARYLAND,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,16,,,-,1,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
COLORADO,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,9,,,-,3,,"COLORADO
(38.84384047000049, -106.13360888799969)",
MISSISSIPPI,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,8,,,-,6,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
ARKANSAS,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,3,,10,,2,,3,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
MICHIGAN,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,17,,,-,1,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
DELAWARE,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,9,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
HAWAII,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,3,,,-,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
