Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF), Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2014, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag","Syphilis, primary and secondary, Cum 2014","Syphilis, primary and secondary, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,,-,0,,0,,,-,,-,,-,1,,9,,,-,,-,100,,362,,418,,100,,269,,,
NEW ENGLAND,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,8,,18,,1,,5,,,
MID. ATLANTIC,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,47,,64,,6,,32,,,
E.N. CENTRAL,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,33,,59,,,-,22,,,
W.N. CENTRAL,2015,1,,-,0,,0,,,-,,-,,-,1,,9,,,-,,-,1,,16,,31,,1,,13,,,
S. ATLANTIC,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,49,,91,,121,,49,,45,,,
DIST. OF COL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,13,,20,,,-,30,,,
W.S. CENTRAL,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,34,,47,,70,,34,,30,,,
MOUNTAIN,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,24,,33,,,-,27,,,
PACIFIC,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,81,,106,,9,,65,,,
AMER. SAMOA,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VIRGIN ISL.
",
UNITED STATES,2015,2,,-,0,,0,,,-,,-,,-,1,,9,,,-,,-,67,,363,,418,,227,,611,,,
NEW ENGLAND,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,18,,3,,19,,,
MID. ATLANTIC,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,47,,64,,28,,75,,,
E.N. CENTRAL,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,32,,59,,8,,52,,,
