Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,,-,1,,10,,,-,2,,4,,50,,213,,4,,8,,66,,435,,522,,66,,384,,,
NEW ENGLAND,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,11,,24,,1,,5,,,
MID. ATLANTIC,2016,1,,-,0,,2,,,-,,-,,-,1,,11,,,-,,-,11,,54,,84,,11,,40,,,
NEW YORK CITY,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,1,,28,,45,,1,,26,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,,-,0,,3,,,-,,-,,-,1,,6,,,-,,-,3,,40,,64,,3,,40,,,
W.N. CENTRAL,2016,1,,-,0,,5,,,-,,-,,-,6,,25,,,-,,-,3,,15,,26,,3,,13,,,
S. ATLANTIC,2016,1,,-,0,,5,,,-,1,,,-,9,,79,,,-,3,,5,,108,,151,,5,,84,,,
DIST. OF COL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,,-,4,,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,,-,0,,3,,,-,,-,4,,14,,64,,4,,4,,,-,17,,27,,,-,11,,,
W.S. CENTRAL,2016,1,,-,0,,1,,,-,,-,,-,10,,72,,,-,1,,24,,49,,66,,24,,49,,,
MOUNTAIN,2016,1,,-,0,,2,,,-,1,,,-,0,,3,,,-,,-,,-,24,,40,,,-,30,,,
PACIFIC,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,19,,105,,132,,19,,112,,,
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW HAMPSHIRE,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,7,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
FLORIDA,2016,1,,-,0,,1,,,-,,-,,-,0,,5,,,-,1,,,-,38,,53,,,-,23,,"FLORIDA
(28.915325, -81.922409)",
ALASKA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OREGON,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,3,,6,,10,,3,,9,,"OREGON
(44.567912, -120.156945)",
NEW MEXICO,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,2,,5,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
LOUISIANA,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,1,,9,,28,,1,,2,,"LOUISIANA
(31.2931, -92.463284)",
TENNESSEE,2016,1,,-,0,,3,,,-,,-,2,,9,,41,,2,,2,,,-,6,,13,,,-,7,,"TENNESSEE
(35.681402, -85.774444)",
MONTANA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WISCONSIN,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,1,,1,,4,,1,,,-,"WISCONSIN
(44.395526, -89.834513)",
NEVADA,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,,-,15,,"NEVADA
(39.491833, -117.070159)",
TEXAS,2016,1,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,23,,33,,47,,23,,42,,"TEXAS
(31.827233, -99.423022)",
MICHIGAN,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,7,,12,,,-,11,,"MICHIGAN
(44.66399, -84.711206)",
IDAHO,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,8,,,-,,-,"IDAHO
(43.680635, -114.364237)",
OKLAHOMA,2016,1,,-,0,,0,,,-,,-,,-,0,,16,,,-,,-,,-,2,,11,,,-,5,,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,3,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
UTAH,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,5,,,-,,-,"UTAH
(39.359772, -111.584173)",
IOWA,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,1,,"IOWA
(42.46942, -93.815856)",
CONNECTICUT,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OHIO,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,10,,21,,,-,13,,"OHIO
(40.056807, -82.405897)",
WASHINGTON,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,8,,13,,5,,5,,"WASHINGTON
(47.517368, -120.467672)",
MASSACHUSETTS,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,7,,15,,1,,4,,"MASSACHUSETTS
(42.268546, -72.085064)",
RHODE ISLAND,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARKANSAS,2016,1,,-,0,,1,,,-,,-,,-,10,,71,,,-,1,,,-,2,,9,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
SOUTH CAROLINA,2016,1,,-,0,,1,,,-,,-,,-,1,,3,,,-,1,,2,,5,,15,,2,,7,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,5,,,-,,-,"MAINE
(45.252223, -68.986647)",
GEORGIA,2016,1,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,28,,44,,,-,23,,"GEORGIA
(32.836038, -83.631709)",
ARIZONA,2016,1,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,10,,19,,,-,5,,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,1,,10,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WYOMING,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
