STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
724088,13707, 20130101,   41.6,24,   27.8,24, 1014.7,24, 1013.3,24,  10.0,24,   7.7,24,  11.1, 999.9,   44.4*,  37.4*, 0.00A,999.9, 000000,
724088,13707, 20130102,   33.9,24,   20.6,24, 1017.9,24, 1016.6,24,  10.0,24,   7.0,24,  12.0, 999.9,   40.8 ,  28.0 , 0.00I,999.9, 000000,
724088,13707, 20130103,   29.1,24,   16.0,24, 1022.6,24, 1021.3,24,  10.0,24,   6.8,24,   9.9, 999.9,   35.1 ,  24.6 , 0.00I,999.9, 000000,
724088,13707, 20130104,   33.4,24,   21.7,24, 1020.7,24, 1019.4,24,  10.0,24,   8.5,24,  19.0,  27.0,   41.4 ,  26.8 , 0.00I,999.9, 000000,
724088,13707, 20130105,   35.6,24,   21.3,24, 1024.0,24, 1022.7,24,  10.0,24,   7.5,24,  14.0,  19.0,   41.2 ,  28.6 , 0.00I,999.9, 000000,
724088,13707, 20130106,   39.5,24,   27.7,24, 1020.6,24, 1019.3,24,  10.0,24,   4.7,24,   8.0, 999.9,   50.7 ,  29.5 , 0.00H,999.9, 010000,
724088,13707, 20130107,   42.9,24,   28.3,24, 1024.6,24, 1023.2,24,  10.0,24,   7.4,24,  12.0, 999.9,   48.6 ,  37.0 , 0.00I,999.9, 000000,
724088,13707, 20130108,   38.8,24,   30.5,24, 1029.8,24, 1028.5,24,  10.0,24,   4.9,24,  11.1, 999.9,   52.9 ,  28.4 , 0.00I,999.9, 000000,
724088,13707, 20130109,   46.2,24,   38.1,24, 1027.3,24, 1026.0,24,  10.0,24,   4.1,24,  12.0, 999.9,   59.2 ,  32.2 , 0.00H,999.9, 010000,
724088,13707, 20130110,   45.7,22,   30.9,22, 1031.3,22, 1030.0,22,  10.0,22,   7.8,22,  12.0, 999.9,   52.3*,  39.2*, 0.00I,999.9, 000000,
724088,13707, 20130111,   40.0,24,   36.3,24, 1029.1,24, 1027.8,24,   9.7,24,   4.3,24,  11.1, 999.9,   46.4 ,  31.8 , 0.08B,999.9, 010000,
724088,13707, 20130112,   47.4,24,   47.0,24, 1020.0,24, 1018.7,24,   7.2,24,   4.7,24,  11.1, 999.9,   55.6*,  42.8*, 0.05A,999.9, 110000,
724088,13707, 20130113,   43.5,24,   43.5,24, 1019.9,24, 1018.6,24,   3.3,24,   3.4,24,   7.0, 999.9,   50.0*,  39.2*, 0.00H,999.9, 110000,
724088,13707, 20130114,   54.9,24,   53.6,24, 1017.9,24, 1016.6,24,   7.4,24,   7.1,24,  15.0,  19.0,   61.3 ,  46.4 , 0.01B,999.9, 110000,
724088,13707, 20130115,   41.1,24,   40.4,24, 1024.7,24, 1023.4,24,   8.5,24,   7.9,24,  15.9, 999.9,   51.1 ,  38.5 , 0.56G,999.9, 010000,
724088,13707, 20130116,   37.9,24,   37.7,24, 1017.7,24, 1016.5,24,   8.4,24,   7.6,24,  15.0,  26.0,   41.9 ,  35.4 , 0.76G,999.9, 010000,
724088,13707, 20130117,   41.3,24,   37.6,24, 1017.3,24, 1016.0,24,  10.0,24,   4.8,24,  11.1, 999.9,   43.7 ,  38.1 , 0.07G,999.9, 010000,
724088,13707, 20130118,   35.4,24,   23.2,24, 1025.0,24, 1023.6,24,  10.0,24,   8.0,24,  15.9,  27.0,   39.6 ,  29.5 , 0.00G,999.9, 010000,
724088,13707, 20130119,   37.1,24,   24.5,24, 1027.1,24, 1025.7,24,  10.0,24,  10.9,24,  18.1,  25.1,   52.7 ,  25.3 , 0.00I,999.9, 000000,
724088,13707, 20130120,   46.8,24,   28.2,24, 1012.7,24, 1011.4,24,  10.0,24,  13.1,24,  22.0,  28.9,   57.9 ,  39.2 , 0.00I,999.9, 000000,
724088,13707, 20130121,   34.3,24,   18.7,24, 1016.7,24, 1015.4,24,  10.0,24,   6.7,24,  17.1, 999.9,   45.9 ,  25.9 , 0.00I,999.9, 000000,
724088,13707, 20130122,   24.3,24,   10.8,24, 1016.9,24, 1015.6,24,   9.6,24,  12.8,24,  21.0,  31.1,   38.3 ,  19.0 , 0.02G,999.9, 011000,
724088,13707, 20130123,   18.4,24,   -0.6,24, 1025.1,24, 1023.8,24,  10.0,24,   9.9,24,  15.0,  19.0,   23.7 ,  13.1 , 0.00G,999.9, 000000,
724088,13707, 20130124,   20.7,24,    6.1,24, 1024.2,24, 1022.9,24,   9.3,24,   9.4,24,  19.0,  24.1,   26.6 ,  15.4 , 0.00H,999.9, 001000,
724088,13707, 20130125,   19.9,24,    5.2,24, 1029.1,24, 1027.8,24,   9.0,24,   4.7,24,   8.9, 999.9,   23.9 ,  16.0 , 0.04A,  1.2, 001000,
724088,13707, 20130126,   22.0,24,   16.7,24, 1021.3,24, 1019.9,24,   9.0,24,   6.7,24,  14.0,  18.1,   30.0 ,  13.8 , 0.00H,999.9, 011000,
724088,13707, 20130127,   25.3,24,   13.5,24, 1032.5,24, 1031.2,24,  10.0,24,   5.1,24,   9.9, 999.9,   36.1 ,  17.8 , 0.00I,999.9, 000000,
724088,13707, 20130128,   32.4,24,   28.6,24, 1028.3,24, 1026.9,24,   9.1,24,   6.2,24,  13.0, 999.9,   39.9 ,  23.5 , 0.04C,999.9, 011000,
724088,13707, 20130129,   41.8,24,   40.8,24, 1018.6,24, 1017.3,24,   7.5,24,   4.1,24,   8.9, 999.9,   54.1*,  33.8*, 0.00I,999.9, 100000,
724088,13707, 20130130,   57.3,23,   54.6,23, 1011.2,23, 1009.9,23,   9.7,23,  13.1,23,  22.9,  33.0,   70.3*,  45.1*, 0.00I,999.9, 000000,
724088,13707, 20130131,   54.5,24,   41.4,24,  997.6,24,  996.2,23,   9.7,24,  23.1,24,  32.1,  45.1,   68.0*,  37.9*, 0.60G,999.9, 010000,
724088,13707, 20130201,   29.5,24,   15.0,24, 1014.0,24, 1014.0,19,   8.1,24,  11.7,24,  24.1,  32.1,   46.8 ,  24.6 , 0.00G,  2.0, 111000,
