STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
690524,99999, 20130101,   63.4,24,   59.5,24, 1019.8,22, 9999.9, 0,   8.8,24,   1.1,24,   2.9, 999.9,   69.8*,  55.4*, 0.01G,999.9, 010000,
690524,99999, 20130102,   60.6,24,   55.1,24, 1018.7,13, 9999.9, 0,   9.1,24,   3.2,24,   8.0,  15.0,   69.4 ,  53.6 , 0.01G,999.9, 010000,
690524,99999, 20130103,   47.3,24,   42.7,24, 1023.4,20, 9999.9, 0,  10.8,24,   4.9,24,   8.9,  16.9,   55.4*,  42.8*, 0.19G,999.9, 010000,
690524,99999, 20130104,   43.5,24,   31.6,24, 1028.8,24, 9999.9, 0,  12.0,24,   1.7,24,   4.1,  13.0,   55.4*,  35.6*, 0.12G,999.9, 000000,
690524,99999, 20130105,   46.8,24,   32.2,24, 1029.0,22, 9999.9, 0,  12.0,24,   0.4,24,   2.9,  11.1,   55.8 ,  41.7 , 0.00G,999.9, 010000,
690524,99999, 20130106,   51.2,24,   37.1,24, 1024.9,21, 9999.9, 0,  11.9,24,   1.6,24,   6.0,  14.0,   55.4*,  48.2*,99.99 ,999.9, 010000,
690524,99999, 20130107,   50.7,24,   39.1,24, 1026.0,24, 9999.9, 0,  12.0,24,   1.1,24,   4.1, 999.9,   62.6*,  41.0*,99.99 ,999.9, 010000,
690524,99999, 20130108,   54.1,24,   44.7,24, 1025.1,19, 9999.9, 0,  11.6,24,   0.6,24,   1.9, 999.9,   63.1 ,  46.4 , 0.00I,999.9, 000000,
690524,99999, 20130109,   63.6,24,   59.4,24, 1024.5,14, 9999.9, 0,   9.1,24,   1.6,24,   4.1,  14.0,   68.0*,  60.8*,99.99 ,999.9, 010000,
690524,99999, 20130110,   65.9,24,   64.9,24, 1025.6, 6, 9999.9, 0,   2.8,24,   1.3,24,   6.0,  13.0,   68.0*,  64.4*, 0.01G,999.9, 110000,
690524,99999, 20130111,   66.1,24,   63.9,24, 1022.3,15, 9999.9, 0,   6.4,24,   1.1,24,   7.0,  16.9,   71.6*,  62.6*, 0.38G,999.9, 010000,
690524,99999, 20130112,   67.6,24,   65.7,24, 1020.9,10, 9999.9, 0,   5.1,24,   0.5,24,   2.9, 999.9,   73.4*,  64.4*, 0.00G,999.9, 100000,
690524,99999, 20130113,   68.5,24,   66.7,24, 1018.1,15, 9999.9, 0,   4.5,24,   1.1,24,   4.1,  12.0,   73.0 ,  65.7 , 0.00I,999.9, 100000,
690524,99999, 20130114,   69.5,24,   67.8,24, 1019.3,10, 9999.9, 0,   4.4,24,   0.6,24,   2.9, 999.9,   73.4*,  68.0*,99.99 ,999.9, 110000,
690524,99999, 20130115,   69.0,24,   67.0,24, 1019.2,11, 9999.9, 0,   5.5,24,   0.8,24,   5.1,  12.0,   73.4*,  68.0*,99.99 ,999.9, 010000,
690524,99999, 20130116,   69.0,24,   66.8,24, 1016.3,16, 9999.9, 0,   7.2,24,   1.4,24,   5.1,  22.0,   71.6*,  59.0*, 0.27G,999.9, 010000,
690524,99999, 20130117,   46.8,24,   41.8,24, 1020.2,11, 9999.9, 0,  10.5,24,   4.5,24,  11.1,  25.1,   55.4*,  41.0*, 0.26G,999.9, 010000,
690524,99999, 20130118,   46.0,24,   32.6,24, 1029.8,24, 9999.9, 0,  12.0,24,   3.1,24,   7.0,  15.9,   59.0*,  37.4*, 0.01G,999.9, 000000,
690524,99999, 20130119,   48.3,22,   35.8,22, 1029.5,22, 9999.9, 0,  12.0,22,   0.4,22,   2.9, 999.9,   62.6*,  37.4*, 0.00G,999.9, 000000,
690524,99999, 20130120,   53.6,21,   43.3,21, 1025.3,21, 9999.9, 0,  12.0,21,   0.6,21,   2.9, 999.9,   66.2*,  44.6*, 0.00I,999.9, 000000,
