STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720353,63875, 20131001,   62.1,24,   57.1,24, 9999.9, 0,  978.4,24,   6.6,24,   1.1,24,   7.0, 999.9,   76.6 ,  54.1 , 0.00I,999.9, 100000,
720353,63875, 20131002,   64.3,24,   60.1,24, 9999.9, 0,  979.4,24,   5.8,24,   0.7,24,   5.1, 999.9,   81.1 ,  54.1 , 0.00I,999.9, 100000,
720353,63875, 20131003,   67.9,24,   63.8,24, 9999.9, 0,  978.7,24,   6.7,24,   1.3,24,   7.0, 999.9,   81.1 ,  56.7 ,99.99 ,999.9, 110000,
720353,63875, 20131004,   68.4,24,   63.3,24, 9999.9, 0,  979.2,24,   6.7,24,   0.8,24,   6.0, 999.9,   81.7 ,  58.6 , 0.00I,999.9, 100000,
720353,63875, 20131005,   68.3,24,   63.0,24, 9999.9, 0,  978.8,24,   6.3,24,   1.3,24,   6.0, 999.9,   83.5 ,  58.6 , 0.00I,999.9, 100000,
720353,63875, 20131006,   68.9,24,   62.0,24, 9999.9, 0,  973.6,24,   6.9,24,   2.4,24,  11.1,  17.1,   83.5 ,  58.1 , 0.00I,999.9, 100000,
720353,63875, 20131007,   61.3,24,   52.2,24, 9999.9, 0,  972.8,24,   9.6,24,   4.7,24,  13.0,  18.1,   81.7 ,  53.6 , 0.24G,999.9, 010000,
720353,63875, 20131008,   53.5,24,   46.9,24, 9999.9, 0,  979.1,24,   6.6,24,   0.7,24,   6.0, 999.9,   72.0 ,  43.7 , 0.00G,999.9, 100000,
720353,63875, 20131009,   57.5,24,   50.0,24, 9999.9, 0,  980.6,24,  10.0,24,   0.8,24,   5.1, 999.9,   75.4 ,  43.7 , 0.00I,999.9, 000000,
720353,63875, 20131010,   57.9,24,   52.4,24, 9999.9, 0,  979.6,24,   6.1,24,   0.9,24,   6.0, 999.9,   75.4 ,  45.7 , 0.00I,999.9, 100000,
720353,63875, 20131011,   57.9,24,   52.1,24, 9999.9, 0,  977.2,24,   6.2,24,   1.3,24,   7.0, 999.9,   75.9 ,  48.6 , 0.00I,999.9, 100000,
720353,63875, 20131012,   60.5,24,   54.5,24, 9999.9, 0,  977.1,24,   6.7,24,   1.4,24,   7.0, 999.9,   77.0 ,  48.6 , 0.00I,999.9, 100000,
720353,63875, 20131013,   64.0,24,   58.1,24, 9999.9, 0,  980.5,24,  10.0,24,   1.7,24,   8.9, 999.9,   77.0 ,  51.6 , 0.00I,999.9, 000000,
720353,63875, 20131014,   64.1,24,   58.8,24, 9999.9, 0,  981.9,24,   9.6,24,   0.7,24,   6.0, 999.9,   76.3 ,  55.0 , 0.00I,999.9, 000000,
720353,63875, 20131015,   64.0,24,   58.6,24, 9999.9, 0,  978.9,24,   9.6,24,   1.2,24,   5.1, 999.9,   75.7 ,  55.0 , 0.00I,999.9, 000000,
720353,63875, 20131016,   62.8,24,   58.3,24, 9999.9, 0,  975.3,24,   9.9,24,   1.4,24,   6.0, 999.9,   75.7 ,  56.3 ,99.99 ,999.9, 010000,
720353,63875, 20131017,   61.3,24,   59.0,24, 9999.9, 0,  972.4,24,   8.0,24,   2.0,24,  13.0,  17.1,   69.1 ,  55.0 , 0.12G,999.9, 010000,
720353,63875, 20131018,   52.2,24,   46.3,24, 9999.9, 0,  975.8,24,   8.9,24,   0.3,24,   4.1, 999.9,   69.1 ,  45.7 , 0.10G,999.9, 100000,
720353,63875, 20131019,   50.6,24,   47.3,24, 9999.9, 0,  973.5,24,   7.7,24,   1.7,24,   9.9,  15.9,   63.0 ,  45.7 , 0.00G,999.9, 110000,
720353,63875, 20131020,   46.1,24,   38.9,24, 9999.9, 0,  976.9,24,   8.0,24,   0.4,24,   5.1, 999.9,   64.4 ,  36.1 , 0.00I,999.9, 100000,
720353,63875, 20131021,   47.2,24,   40.4,24, 9999.9, 0,  977.1,24,   7.1,24,   1.3,24,   8.0, 999.9,   67.1 ,  36.1 , 0.00I,999.9, 100000,
720353,63875, 20131022,   48.4,24,   46.4,24, 9999.9, 0,  974.1,24,   9.9,24,   1.0,24,   5.1, 999.9,   67.1 ,  36.1 , 0.06A,999.9, 010000,
720353,63875, 20131023,   44.6,24,   40.7,24, 9999.9, 0,  971.4,24,   7.0,24,   3.2,24,  13.0,  22.9,   51.4 ,  36.9 ,99.99 ,999.9, 110000,
720353,63875, 20131024,   39.1,24,   34.0,24, 9999.9, 0,  978.7,24,   8.5,24,   1.5,24,  12.0,  15.9,   52.2 ,  31.8 ,99.99 ,999.9, 110000,
720353,63875, 20131025,   39.8,24,   29.1,24, 9999.9, 0,  985.9,24,  10.0,24,   3.7,24,  12.0,  18.1,   52.2 ,  32.0 , 0.01G,999.9, 010000,
720353,63875, 20131026,   36.9,24,   28.2,24, 9999.9, 0,  983.2,24,  10.0,24,   2.8,24,  13.0,  17.1,   55.6 ,  23.9 , 0.00G,999.9, 000000,
720353,63875, 20131027,   51.4,24,   40.0,24, 9999.9, 0,  977.7,24,  10.0,24,   2.2,24,   9.9,  14.0,   64.8 ,  23.9 , 0.00I,999.9, 000000,
720353,63875, 20131028,   55.7,24,   50.3,24, 9999.9, 0,  980.2,24,   9.1,24,   1.6,24,   8.0, 999.9,   66.6 ,  38.3 , 0.05G,999.9, 010000,
720353,63875, 20131029,   59.4,21,   52.6,21, 9999.9, 0,  983.7,21,   9.6,21,   1.2,21,   5.1, 999.9,   69.3 ,  48.6 , 0.00G,999.9, 000000,
720353,63875, 20131030,   62.9,24,   56.5,24, 9999.9, 0,  981.5,24,   9.2,24,   1.7,24,   8.0, 999.9,   75.9*,  56.1*, 0.02G,999.9, 010000,
720353,63875, 20131031,   63.2,24,   55.6,24, 9999.9, 0,  975.4,23,   9.8,24,   4.7,24,  14.0,  24.1,   76.1 ,  54.1 , 0.00G,999.9, 010000,
720353,63875, 20131101,   65.2,24,   53.3,24, 9999.9, 0,  966.1,18,   9.0,24,   6.5,24,  18.1,  32.1,   70.9 ,  55.2 , 0.93G,999.9, 010000,
720353,63875, 20131102,   49.8,24,   41.8,24, 9999.9, 0,  970.0,24,  10.0,24,   2.0,24,  12.0,  19.0,   70.3 ,  41.0 , 0.00G,999.9, 010000,
720353,63875, 20131103,   47.5,24,   37.4,24, 9999.9, 0,  980.4,24,  10.0,24,   2.3,24,   7.0, 999.9,   60.6 ,  38.3 ,99.99 ,999.9, 010000,
720353,63875, 20131104,   44.7,24,   34.0,24, 9999.9, 0,  986.3,24,  10.0,24,   1.5,24,   7.0, 999.9,   60.8 ,  32.9 , 0.00I,999.9, 000000,
720353,63875, 20131105,   51.9,24,   36.7,24, 9999.9, 0,  987.6,24,  10.0,24,   1.5,24,   7.0, 999.9,   68.2 ,  32.9 , 0.00I,999.9, 000000,
720353,63875, 20131106,   52.8,24,   43.5,24, 9999.9, 0,  983.0,24,  10.0,24,   1.8,24,   9.9,  15.9,   71.6 ,  38.5 , 0.00I,999.9, 000000,
720353,63875, 20131107,   55.2,24,   46.2,24, 9999.9, 0,  978.6,24,   8.9,24,   6.8,24,  12.0,  22.0,   71.6 ,  38.5 , 0.26G,999.9, 010000,
720353,63875, 20131108,   38.5,24,   27.9,24, 9999.9, 0,  984.7,24,   9.8,24,   1.5,24,   8.0, 999.9,   62.2 ,  27.3 , 0.00G,999.9, 000000,
720353,63875, 20131109,   39.5,24,   29.2,24, 9999.9, 0,  983.5,24,  10.0,24,   2.9,24,  12.0,  17.1,   57.0 ,  27.3 , 0.00I,999.9, 000000,
720353,63875, 20131110,   43.2,24,   31.9,24, 9999.9, 0,  983.0,24,   9.9,24,   2.1,24,  11.1,  15.0,   62.1 ,  27.3 , 0.00I,999.9, 000000,
720353,63875, 20131111,   41.0,24,   27.3,24, 9999.9, 0,  983.8,24,  10.0,24,   1.3,24,   8.0, 999.9,   64.0 ,  26.8 , 0.00I,999.9, 000000,
720353,63875, 20131112,   40.1,24,   31.2,24, 9999.9, 0,  983.3,24,   9.9,24,   5.0,24,  13.0,  19.0,   64.0 ,  26.8 ,99.99 ,999.9, 011000,
720353,63875, 20131113,   29.5,24,   17.4,24, 9999.9, 0,  993.1,24,  10.0,24,   1.7,24,  11.1,  17.1,   51.8 ,  18.9 , 0.00I,999.9, 000000,
720353,63875, 20131114,   32.6,24,   20.6,24, 9999.9, 0,  988.4,24,   9.9,24,   1.5,24,   8.9, 999.9,   54.5 ,  18.9 , 0.00I,999.9, 000000,
720353,63875, 20131115,   36.7,24,   26.8,24, 9999.9, 0,  982.7,24,   9.8,24,   1.4,24,   8.0, 999.9,   54.5 ,  19.9 , 0.11A,999.9, 010000,
720353,63875, 20131116,   49.9,24,   48.2,24, 9999.9, 0,  980.1,24,   6.8,24,   0.5,24,   5.1, 999.9,   60.4*,  43.9*, 0.06C,999.9, 010000,
720353,63875, 20131117,   56.4,24,   52.8,24, 9999.9, 0,  974.6,24,   8.2,24,   3.8,24,   9.9,  19.0,   63.1 ,  44.8 , 0.24A,999.9, 010000,
720353,63875, 20131118,   56.6,24,   47.0,24, 9999.9, 0,  973.3,24,   9.2,24,   6.4,24,  13.0,  22.9,   66.2 ,  41.9 , 0.77G,999.9, 110000,
720353,63875, 20131119,   43.4,24,   27.0,24, 9999.9, 0,  980.8,24,  10.0,24,   5.8,24,  11.1,  15.0,   61.9 ,  31.1 , 0.00G,999.9, 000000,
720353,63875, 20131120,   42.3,24,   28.7,24, 9999.9, 0,  982.8,24,  10.0,24,   1.7,24,   8.0, 999.9,   56.3 ,  29.1 , 0.00I,999.9, 000000,
720353,63875, 20131121,   45.4,24,   35.1,24, 9999.9, 0,  984.6,24,  10.0,24,   1.5,24,   6.0, 999.9,   61.5 ,  29.1 , 0.00I,999.9, 000000,
720353,63875, 20131122,   57.6,24,   52.9,24, 9999.9, 0,  982.7,24,   8.1,24,   3.3,24,  11.1,  15.9,   59.7*,  54.9*, 0.10A,999.9, 010000,
720353,63875, 20131123,   45.1,24,   40.0,24, 9999.9, 0,  983.6,24,   9.8,24,   6.6,24,  13.0,  18.1,   59.9 ,  36.7 , 0.01A,999.9, 010000,
720353,63875, 20131124,   28.5,24,   11.6,24, 9999.9, 0,  990.2,24,  10.0,24,   6.9,24,  15.0,  22.9,   47.8 ,  20.8 ,99.99 ,999.9, 001000,
720353,63875, 20131125,   28.9,24,   13.0,24, 9999.9, 0,  988.3,24,  10.0,24,   1.1,24,   6.0, 999.9,   38.3 ,  20.8 , 0.00I,999.9, 000000,
720353,63875, 20131126,   35.4,24,   34.5,24, 9999.9, 0,  976.9,24,   4.3,24,   1.6,24,   8.0, 999.9,   44.6 ,  21.2 , 0.45G,999.9, 011000,
720353,63875, 20131127,   32.6,24,   28.0,24, 9999.9, 0,  971.8,24,   6.6,24,   7.6,24,  13.0,  21.0,   44.6 ,  27.3 , 1.21G,999.9, 011000,
720353,63875, 20131128,   27.0,24,   19.3,24, 9999.9, 0,  985.7,24,  10.0,24,   1.6,24,   8.0, 999.9,   39.0 ,  18.9 , 0.00G,999.9, 001000,
720353,63875, 20131129,   29.6,24,   22.9,24, 9999.9, 0,  991.1,24,   9.8,24,   0.4,24,   4.1, 999.9,   47.3 ,  18.9 , 0.00I,999.9, 000000,
720353,63875, 20131130,   34.6,24,   25.6,24, 9999.9, 0,  989.6,24,  10.0,24,   1.9,24,   8.0, 999.9,   52.7 ,  19.4 , 0.00I,999.9, 000000,
720353,63875, 20131201,   35.8,24,   28.4,24, 9999.9, 0,  980.7,19,   9.9,24,   1.3,24,   7.0, 999.9,   53.2 ,  23.7 , 0.00I,999.9, 000000,
720353,63875, 20131202,   44.7,24,   39.7,24, 9999.9, 0,  972.3,24,   9.6,24,   0.7,24,   6.0, 999.9,   47.7*,  42.3*,99.99 ,999.9, 010000,
720353,63875, 20131203,   47.9,24,   45.4,24, 9999.9, 0,  969.6,24,   7.3,24,   0.0,24,   4.1, 999.9,   54.5 ,  42.1 ,99.99 ,999.9, 010000,
720353,63875, 20131204,   51.8,24,   48.4,24, 9999.9, 0,  971.3,24,   7.3,24,   1.6,24,   8.9,  15.0,   64.2 ,  42.3 ,99.99 ,999.9, 010000,
720353,63875, 20131205,   65.8,24,   59.3,24, 9999.9, 0,  972.9,24,  10.0,24,   7.2,24,  15.0,  26.0,   70.7*,  62.4*, 0.02A,999.9, 010000,
720353,63875, 20131206,   47.0,24,   44.8,24, 9999.9, 0,  974.8,24,   7.6,24,   4.1,24,   9.9,  18.1,   70.7 ,  36.5 , 0.70G,999.9, 010010,
720353,63875, 20131207,   34.6,24,   32.0,24, 9999.9, 0,  985.1,24,   9.2,24,   6.1,24,   8.9,  14.0,   46.9 ,  32.5 , 1.15G,999.9, 010000,
720353,63875, 20131208,   35.1,24,   33.5,24, 9999.9, 0,  983.3,24,   7.1,24,   1.8,24,   7.0, 999.9,   43.3 ,  32.2 , 0.19G,999.9, 011010,
720353,63875, 20131209,   44.6,24,   43.1,24, 9999.9, 0,  977.8,24,   8.0,24,   2.1,24,   8.9,  15.9,   48.6 ,  32.2 , 1.65G,999.9, 010000,
720353,63875, 20131210,   34.5,24,   30.2,24, 9999.9, 0,  979.7,24,   9.0,24,   4.2,24,  13.0,  18.1,   48.6 ,  29.8 , 0.21G,999.9, 011000,
720353,63875, 20131211,   29.0,24,   23.6,24, 9999.9, 0,  986.8,24,   8.1,24,   1.0,24,   7.0, 999.9,   45.5 ,  20.7 , 0.00G,999.9, 100000,
720353,63875, 20131212,   30.0,24,   17.4,24, 9999.9, 0,  988.9,24,  10.0,24,   3.5,24,   8.9, 999.9,   45.5 ,  20.7 , 0.00I,999.9, 000000,
720353,63875, 20131213,   30.1,21,   18.9,21, 9999.9, 0,  985.6,21,  10.0,21,   0.8,21,   6.0, 999.9,   44.8*,  19.2*, 0.00I,999.9, 000000,
720353,63875, 20131214,   40.1,24,   32.5,24, 9999.9, 0,  975.2,24,   9.0,24,   1.6,24,   8.9,  14.0,   46.9 ,  36.0 , 0.22A,999.9, 010000,
720353,63875, 20131215,   37.0,24,   33.9,24, 9999.9, 0,  973.4,24,   9.0,24,   6.0,24,  12.0,  18.1,   46.9 ,  32.0 , 0.02A,999.9, 010000,
720353,63875, 20131216,   34.1,24,   28.3,24, 9999.9, 0,  979.4,24,   9.5,24,   3.0,24,  12.0,  15.0,   45.7 ,  26.6 , 0.00I,999.9, 000000,
720353,63875, 20131217,   37.2,24,   31.6,24, 9999.9, 0,  977.3,24,   7.6,24,   2.4,24,  17.1,  22.0,   54.0 ,  26.6 ,99.99 ,999.9, 010000,
720353,63875, 20131218,   35.6,24,   21.7,24, 9999.9, 0,  982.4,24,  10.0,24,   3.9,24,  14.0,  21.0,   54.0 ,  22.8 , 0.00I,999.9, 000000,
720353,63875, 20131219,   37.2,24,   22.4,24, 9999.9, 0,  982.0,24,   9.9,24,   2.1,24,   8.9,  15.9,   57.4 ,  22.8 , 0.00I,999.9, 000000,
720353,63875, 20131220,   47.0,24,   30.0,24, 9999.9, 0,  978.4,24,  10.0,24,   4.7,24,  12.0,  17.1,   57.4 ,  26.1 ,99.99 ,999.9, 010000,
720353,63875, 20131221,   58.0,24,   49.1,24, 9999.9, 0,  973.7,24,  10.0,24,   5.9,24,   9.9,  15.9,   67.8*,  53.2*, 0.05B,999.9, 010000,
720353,63875, 20131222,   61.7,24,   56.4,24, 9999.9, 0,  970.9,24,   8.3,24,   6.3,24,  14.0,  27.0,   70.9 ,  54.9 , 1.70G,999.9, 010000,
720353,63875, 20131223,   46.6,24,   42.1,24, 9999.9, 0,  979.2,24,   9.8,24,   5.9,24,  14.0,  21.0,   68.2 ,  33.8 , 0.40G,999.9, 010000,
720353,63875, 20131224,   31.2,24,   20.9,24, 9999.9, 0,  987.0,24,   9.9,24,   5.6,24,  11.1,  15.0,   34.2*,  25.2*, 0.00G,999.9, 001000,
720353,63875, 20131225,   26.3,24,   16.7,24, 9999.9, 0,  987.7,24,  10.0,24,   2.1,24,   9.9, 999.9,   41.4 ,  17.2 , 0.00I,999.9, 000000,
720353,63875, 20131226,   33.3,24,   24.7,24, 9999.9, 0,  984.7,24,  10.0,24,   0.9,24,   7.0, 999.9,   45.0 ,  17.2 , 0.00I,999.9, 000000,
720353,63875, 20131227,   31.1,24,   22.6,24, 9999.9, 0,  987.6,24,   9.3,24,   0.6,24,   6.0, 999.9,   51.4 ,  20.1 , 0.00I,999.9, 000000,
720353,63875, 20131228,   30.4,24,   24.5,24, 9999.9, 0,  986.1,24,   9.9,24,   0.3,24,   6.0, 999.9,   51.4 ,  20.1 ,99.99 ,999.9, 010000,
720353,63875, 20131229,   43.0,24,   40.9,24, 9999.9, 0,  972.6,24,   7.3,24,   1.9,24,   8.9,  14.0,   46.4*,  38.3*, 0.96G,999.9, 010000,
720353,63875, 20131230,   35.4,24,   32.7,24, 9999.9, 0,  977.6,23,   8.9,24,   3.0,24,   8.0, 999.9,   46.4 ,  32.5 , 0.07G,999.9, 010000,
720353,63875, 20131231,   32.1,24,   24.6,24, 9999.9, 0,  983.5,22,   9.3,24,   2.1,24,  11.1,  15.9,   40.8 ,  22.6 , 0.00G,999.9, 000000,
720353,63875, 20140101,   30.5,24,   22.4,24, 9999.9, 0,  983.1,19,   9.9,24,   1.8,24,   9.9,  14.0,   47.5 ,  20.1 , 0.00I,999.9, 000000,
720353,63875, 20140102,   34.4,24,   30.8,24, 9999.9, 0,  972.6,24,   7.3,24,   3.6,24,  18.1,  25.1,   47.5 ,  20.1 , 0.02G,999.9, 011000,
