STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
726060,14764, 20131001,   57.8,24,   48.3,24, 1013.2,24, 1011.1,24,  10.0,24,   4.7,24,  11.1, 999.9,   75.0 ,  39.9 , 0.00G,999.9, 000000,
726060,14764, 20131002,   63.5,24,   53.7,24, 1010.0,24, 1007.8,24,  10.0,24,   4.3,24,   9.9, 999.9,   80.1 ,  44.1 , 0.00G,999.9, 100000,
726060,14764, 20131003,   62.7,24,   50.4,24, 1015.0,24, 1012.8,24,  10.0,24,   2.9,21,   9.9, 999.9,   80.1 ,  46.9 , 0.00G,999.9, 000000,
726060,14764, 20131004,   59.2,24,   49.9,24, 1017.7,24, 1015.5,24,   9.9,24,   2.5,24,   5.1, 999.9,   75.0 ,  46.9 , 0.00G,999.9, 000000,
726060,14764, 20131005,   57.4,24,   47.2,24, 1019.3,24, 1017.2,24,  10.0,24,   3.7,24,   7.0, 999.9,   72.0 ,  46.9 , 0.00G,999.9, 000000,
726060,14764, 20131006,   52.8,24,   45.1,24, 1023.0,22, 1020.9,24,   9.4,24,   6.1,24,  11.1, 999.9,   61.0 ,  50.0 , 0.00G,999.9, 010000,
726060,14764, 20131007,   57.7,24,   56.6,24, 1016.8,13, 1015.5,24,   3.3,24,   8.7,24,  19.0,  27.0,   66.2*,  51.1*, 0.17G,999.9, 110000,
726060,14764, 20131008,   59.0,24,   46.8,24, 1017.8,24, 1015.0,24,   9.4,24,   9.1,24,  17.1,  32.1,   66.0 ,  48.9 , 0.34G,999.9, 010000,
726060,14764, 20131009,   47.7,24,   38.1,24, 1030.4,24, 1028.1,24,  10.0,24,   2.9,24,   7.0, 999.9,   63.0 ,  35.1 , 0.00G,999.9, 000000,
726060,14764, 20131010,   48.3,24,   42.0,24, 1026.9,24, 1024.7,24,  10.0,24,   1.8,24,   6.0, 999.9,   64.0 ,  35.1 , 0.00G,999.9, 000000,
726060,14764, 20131011,   53.7,24,   47.5,24, 1021.7,24, 1019.5,24,   9.8,24,   1.8,24,   5.1, 999.9,   66.9 ,  36.0 , 0.00G,999.9, 000000,
726060,14764, 20131012,   52.4,24,   48.6,24, 1026.0,24, 1023.5,24,  10.0,24,   5.5,24,  13.0, 999.9,   66.9 ,  42.1 , 0.00G,999.9, 000000,
726060,14764, 20131013,   50.6,24,   45.4,24, 1030.6,21, 1028.4,24,  10.0,24,   2.2,24,   8.0, 999.9,   57.9 ,  43.0 , 0.00G,999.9, 000000,
726060,14764, 20131014,   47.7,24,   41.6,24, 1027.6,24, 1025.5,24,   9.6,24,   3.6,24,  11.1, 999.9,   60.1 ,  36.0 , 0.00G,999.9, 000000,
726060,14764, 20131015,   56.5,24,   49.9,24, 1024.5,23, 1022.4,24,  10.0,24,   3.4,24,   8.9, 999.9,   63.0*,  52.0*, 0.00G,999.9, 000000,
726060,14764, 20131016,   55.5,24,   52.9,24, 1020.5,15, 1018.2,24,   8.5,24,   3.8,24,  11.1, 999.9,   63.0 ,  51.1 , 0.00G,999.9, 000000,
726060,14764, 20131017,   59.4,24,   53.0,24, 1010.3,24, 1008.2,24,   8.1,24,   4.8,24,   9.9, 999.9,   73.0 ,  53.1 , 0.00G,999.9, 000000,
726060,14764, 20131018,   59.1,24,   51.1,24, 1006.0,19, 1002.9,24,   7.9,24,   7.7,24,  17.1,  25.1,   73.0 ,  51.1 , 0.24G,999.9, 010000,
726060,14764, 20131019,   53.9,24,   41.1,24, 1011.7,24, 1009.5,24,  10.0,24,   6.6,24,   9.9, 999.9,   68.0 ,  41.0 , 0.00I,999.9, 000000,
