STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
726050,14745, 20131001,   57.5,24,   48.5,24, 1013.7,22, 1001.4,24,   6.4,24,   2.3,24,   8.0, 999.9,   79.0 ,  39.0 , 0.00G,999.9, 100000,
726050,14745, 20131002,   60.7,24,   52.3,24, 1011.4,21,  998.9,24,   8.0,24,   2.6,24,  13.0,  20.0,   79.0 ,  43.0 , 0.00G,999.9, 100000,
726050,14745, 20131003,   61.7,24,   49.5,24, 1016.0,21, 1003.5,24,   8.3,24,   2.3,24,   7.0, 999.9,   75.9*,  42.8*, 0.00G,999.9, 100000,
726050,14745, 20131004,   54.6,24,   50.1,24, 1018.3,24, 1005.6,24,   9.6,24,   0.6,24,   2.9, 999.9,   77.0 ,  42.1 , 0.00G,999.9, 010000,
726050,14745, 20131005,   59.5,24,   51.0,24, 1019.0,24, 1006.4,24,  10.0,24,   1.0,24,   6.0, 999.9,   66.9 ,  42.1 , 0.00G,999.9, 000000,
726050,14745, 20131006,   53.7,24,   49.5,24, 1022.0,19, 1009.6,24,   7.9,24,   2.0,24,   8.9, 999.9,   64.9 ,  48.0 , 0.00G,999.9, 010000,
726050,14745, 20131007,   57.6,24,   56.4,24, 1016.7,10, 1003.8,24,   3.1,24,   4.5,24,  35.0,  49.0,   73.9 ,  48.0 , 0.22G,999.9, 110000,
726050,14745, 20131008,   56.5,24,   43.2,24, 1019.2,24, 1005.8,24,   9.9,24,   6.6,24,  14.0,  19.0,   73.9 ,  42.1 , 0.75G,999.9, 010000,
726050,14745, 20131009,   44.1,24,   36.2,24, 1030.0,21, 1017.5,24,   8.5,24,   0.8,24,   4.1, 999.9,   64.9 ,  30.0 , 0.00G,999.9, 100000,
726050,14745, 20131010,   46.4,24,   41.4,24, 1026.8,20, 1014.3,24,   6.2,24,   0.3,24,   5.1, 999.9,   63.0 ,  30.0 , 0.00G,999.9, 100000,
726050,14745, 20131011,   52.1,24,   45.4,24, 1021.8,23, 1009.0,24,   8.6,24,   1.1,24,   6.0, 999.9,   71.1 ,  37.9 , 0.00G,999.9, 100000,
726050,14745, 20131012,   48.0,24,   46.0,24, 1025.6,20, 1012.6,24,   8.8,24,   2.1,24,   8.9, 999.9,   55.4*,  37.0*, 0.00G,999.9, 000000,
726050,14745, 20131013,   47.4,24,   43.3,24, 1030.4,20, 1017.6,24,   6.7,24,   1.2,24,   5.1, 999.9,   57.9 ,  37.0 , 0.00G,999.9, 100000,
726050,14745, 20131014,   46.0,24,   40.7,24, 1027.1,17, 1015.0,24,   4.8,24,   1.3,24,   7.0, 999.9,   66.0 ,  32.0 , 0.00G,999.9, 100000,
726050,14745, 20131015,   56.3,24,   49.1,24, 1024.4,21, 1011.6,24,  10.0,24,   1.8,24,   6.0, 999.9,   64.4*,  48.9*, 0.00G,999.9, 000000,
726050,14745, 20131016,   54.0,24,   48.8,24, 1019.7,21, 1007.2,24,   9.1,24,   1.0,24,   6.0, 999.9,   64.9 ,  48.0 , 0.00G,999.9, 000000,
