STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720407,00462, 20150611,   90.3, 8,   63.3, 8, 9999.9, 0, 9999.9, 0,  10.0, 8,   9.4, 8,  15.0,  19.0,   93.2*,  82.4*, 0.00I,999.9, 000000,
720407,00462, 20150612,   89.6,11,   70.3,11, 9999.9, 0, 9999.9, 0,  10.0,11,   9.1,11,  15.0,  20.0,   93.2*,  82.4*, 0.00I,999.9, 000000,
720407,00462, 20150613,   82.9, 8,   64.4, 8, 9999.9, 0, 9999.9, 0,  10.0, 8,   7.7, 8,  14.0,  20.0,   86.0*,  77.0*, 0.00I,999.9, 000000,
720407,00462, 20150614,   82.9, 7,   61.8, 7, 9999.9, 0, 9999.9, 0,  10.0, 7,   9.0, 7,  13.0,  19.0,   87.8*,  71.6*, 0.00I,999.9, 000000,
720407,00462, 20150615,   83.6,12,   71.4,12, 9999.9, 0, 9999.9, 0,   9.3,12,   8.2,12,  11.1,  17.1,   89.6*,  73.4*, 0.03G,999.9, 000000,
720407,00462, 20150616,   75.1,24,   68.8,24, 9999.9, 0, 9999.9, 0,   5.6,24,   5.7,24,  15.0,  22.0,   93.2 ,  66.2 , 0.02G,999.9, 000000,
720407,00462, 20150617,   73.6,20,   58.7,20, 9999.9, 0, 9999.9, 0,  10.0,20,   8.7,20,  15.0,  21.0,   82.4 ,  64.4 , 0.00G,999.9, 000000,
720407,00462, 20150618,   65.6,24,   60.8,24, 9999.9, 0, 9999.9, 0,   8.6,24,   4.6,24,   8.0, 999.9,   69.8 ,  62.6 , 0.36G,999.9, 000000,
720407,00462, 20150619,   72.5,24,   65.5,24, 9999.9, 0, 9999.9, 0,   9.8,24,   4.9,24,  14.0,  17.1,   87.8 ,  64.4 , 0.05G,999.9, 000000,
720407,00462, 20150620,   72.4,24,   67.9,24, 9999.9, 0, 9999.9, 0,   9.2,24,   4.5,24,   8.9, 999.9,   78.8 ,  66.2 , 0.00G,999.9, 000000,
720407,00462, 20150621,   78.0,24,   69.9,24, 9999.9, 0, 9999.9, 0,   9.7,24,   8.6,24,  19.0,  25.1,   89.6 ,  71.6 , 0.31G,999.9, 000000,
720407,00462, 20150622,   80.8,24,   63.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.9,24,  15.0,  21.0,   91.4 ,  66.2 , 0.00G,999.9, 000000,
720407,00462, 20150623,   81.3,24,   68.8,24, 9999.9, 0, 9999.9, 0,   9.9,24,   8.5,24,  15.9,  27.0,   96.8 ,  69.8 , 0.02A,999.9, 000010,
720407,00462, 20150624,   74.6,24,   60.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.6,24,  13.0,  19.0,   86.0 ,  64.4 , 0.00I,999.9, 000000,
720407,00462, 20150625,   70.9,24,   54.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.6,24,  12.0,  15.9,   86.0 ,  55.4 , 0.00I,999.9, 000000,
720407,00462, 20150626,   70.0,24,   63.1,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.3,24,   8.0, 999.9,   78.8 ,  64.4 , 0.04G,999.9, 000000,
720407,00462, 20150627,   66.5,24,   60.9,24, 9999.9, 0, 9999.9, 0,   9.8,24,   5.1,24,  15.0,  26.0,   71.6 ,  60.8 , 0.00G,999.9, 000000,
720407,00462, 20150628,   71.7,24,   64.1,24, 9999.9, 0, 9999.9, 0,   6.4,24,   8.2,24,  20.0,  26.0,   80.6 ,  64.4 , 4.41G,999.9, 000000,
720407,00462, 20150629,   70.1,24,   55.6,24, 9999.9, 0, 9999.9, 0,  10.0,24,   7.0,24,  15.0,  18.1,   80.6 ,  55.4 , 0.00G,999.9, 000000,
720407,00462, 20150630,   70.3,24,   60.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.8,24,  17.1,  24.1,   82.4 ,  55.4 , 0.00I,999.9, 000000,
720407,00462, 20150701,   76.6,24,   66.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   7.9,24,  15.0,  21.0,   87.8 ,  68.0 , 0.34G,999.9, 000010,
720407,00462, 20150702,   68.3,24,   62.6,24, 9999.9, 0, 9999.9, 0,   8.9,24,   0.2,24,   4.1, 999.9,   78.8 ,  60.8 , 0.00G,999.9, 000000,
720407,00462, 20150703,   69.3,24,   60.2,24, 9999.9, 0, 9999.9, 0,   8.8,24,   2.5,24,   7.0, 999.9,   80.6 ,  57.2 , 0.01G,999.9, 000000,
720407,00462, 20150704,   70.5,24,   59.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.3,24,  11.1,  15.0,   78.8 ,  62.6 , 0.00G,999.9, 000000,
720407,00462, 20150705,   74.2,24,   60.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   1.1,24,   8.0, 999.9,   86.0 ,  64.4 , 0.00I,999.9, 000000,
720407,00462, 20150706,   73.1,24,   66.3,24, 9999.9, 0, 9999.9, 0,   9.5,24,   3.0,24,   9.9, 999.9,   82.4 ,  62.6 , 0.00I,999.9, 000000,
720407,00462, 20150707,   79.9,24,   71.4,24, 9999.9, 0, 9999.9, 0,   9.7,24,   5.6,24,  14.0,  19.0,   89.6 ,  73.4 , 0.00I,999.9, 000000,
720407,00462, 20150708,   79.9,24,   71.9,24, 9999.9, 0, 9999.9, 0,   9.2,24,   5.2,24,  11.1,  14.0,   89.6 ,  73.4 , 0.12G,999.9, 000010,
720407,00462, 20150709,   74.1,24,   70.5,24, 9999.9, 0, 9999.9, 0,   8.7,24,   1.8,24,   8.9, 999.9,   82.4 ,  69.8 , 0.42G,999.9, 000000,
720407,00462, 20150710,   76.2,22,   65.8,21, 9999.9, 0, 9999.9, 0,   9.4,21,   6.9,22,  11.1,  21.0,   84.2 ,  71.6 , 1.04G,999.9, 000010,
720407,00462, 20150711,   73.9,24,   62.6,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.3,24,   8.0, 999.9,   84.2 ,  62.6 , 0.00G,999.9, 000000,
720407,00462, 20150712,   73.0,24,   62.2,24, 9999.9, 0, 9999.9, 0,   8.9,24,   2.2,24,   9.9, 999.9,   87.8 ,  57.2 , 0.00I,999.9, 000000,
720407,00462, 20150713,   74.2,24,   63.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.1,24,  11.1, 999.9,   84.2 ,  62.6 , 0.00I,999.9, 000000,
720407,00462, 20150714,   73.3,24,   67.8,24, 9999.9, 0, 9999.9, 0,   9.0,24,   3.1,24,   9.9,  17.1,   84.2 ,  64.4 , 0.38A,999.9, 000000,
