STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720134,99999, 20131001,   70.1,23,   22.4,23, 9999.9, 0,  887.0,23, 999.9, 0,   0.5,23,   1.7,  28.4,   82.6*,  58.5*, 0.00I,999.9, 000000,
720134,99999, 20131002,   72.0,24,   28.5,24, 9999.9, 0,  885.5,24, 999.9, 0,   0.8,24,   1.9,  28.7,   81.3*,  60.8*, 0.00I,999.9, 000000,
720134,99999, 20131003,   67.4,24,   26.1,23, 9999.9, 0,  883.7,23, 999.9, 0,   0.5,23,   1.6,  24.9,   79.9*,  55.6*, 0.00I,999.9, 000000,
720134,99999, 20131004,   55.9,24,   11.2,23, 9999.9, 0,  892.2,23, 999.9, 0,   1.2,23,   1.9,  32.4,   67.6*,  46.8*, 0.00I,999.9, 000000,
720134,99999, 20131005,   56.9,24,   15.9,24, 9999.9, 0,  898.5,24, 999.9, 0,   0.8,23,   1.2,  17.1,   69.8*,  46.6*, 0.00I,999.9, 000000,
720134,99999, 20131006,   63.4,24,    9.5,24, 9999.9, 0,  897.0,24, 999.9, 0,   0.7,24,   1.0,  20.0,   78.6*,  52.9*, 0.00I,999.9, 000000,
720134,99999, 20131007,   65.2,24,    6.4,24, 9999.9, 0,  891.5,24, 999.9, 0,   0.4,24,   0.8,  13.6,   78.1*,  55.4*, 0.00I,999.9, 000000,
720134,99999, 20131008,   63.4,24,    9.3,23, 9999.9, 0,  885.3,23, 999.9, 0,   0.5,22,   1.0,  17.1,   75.4*,  55.6*, 0.00I,999.9, 000000,
720134,99999, 20131009,   59.9,24,   22.0,20, 9999.9, 0,  878.0,20, 999.9, 0,   1.0,20,   2.1,  28.7,   72.5*,  52.9*, 0.00I,999.9, 000000,
720134,99999, 20131010,   47.1,24,   41.5,23, 9999.9, 0,  882.0,23, 999.9, 0,   0.5,23,   1.0,  15.7,   57.9*,  43.9*, 0.00I,999.9, 000000,
720134,99999, 20131011,   54.1,24,   38.3,20, 9999.9, 0,  888.9,20, 999.9, 0,   0.2,20,   0.8,  12.0,   66.7*,  44.1*, 0.00I,999.9, 000000,
720134,99999, 20131012,   61.7, 5,   32.6, 5, 9999.9, 0,  888.6, 5, 999.9, 0,   0.2, 5,   0.4, 999.9,   66.4*,  57.9*, 0.00I,999.9, 000000,
720134,99999, 20131013,   60.4, 7,   30.7, 7, 9999.9, 0,  886.1, 7, 999.9, 0,   0.9, 7,   1.4,  23.9,   64.4*,  53.8*, 0.00I,999.9, 000000,
720134,99999, 20131014,   54.7,24,   32.0,19, 9999.9, 0,  891.6,19, 999.9, 0,   0.7,19,   1.2,  18.1,   64.4*,  47.3*, 0.00I,999.9, 000000,
720134,99999, 20131015,   56.7,24,   23.9,19, 9999.9, 0,  891.7,19, 999.9, 0,   0.8,19,   1.4,  21.4,   64.6*,  48.9*, 0.00I,999.9, 000000,
720134,99999, 20131016,   54.6,24,   21.6,21, 9999.9, 0,  893.6,21, 999.9, 0,   0.7,21,   1.2,  17.9,   66.4*,  45.5*, 0.00I,999.9, 000000,
720134,99999, 20131017,   58.2,24,   16.0,19, 9999.9, 0,  891.6,19, 999.9, 0,   0.2,19,   0.4, 999.9,   72.0*,  47.5*, 0.00I,999.9, 000000,
720134,99999, 20131018,   61.7,24,   16.6,21, 9999.9, 0,  891.3,21, 999.9, 0,   0.7,21,   1.4,  20.0,   73.8*,  54.0*, 0.00I,999.9, 000000,
720134,99999, 20131019,   62.4,23,   15.3,21, 9999.9, 0,  892.8,21, 999.9, 0,   0.4,21,   1.0,  14.4,   75.7*,  53.6*, 0.00I,999.9, 000000,
720134,99999, 20131020,   64.0,24,   11.7,20, 9999.9, 0,  890.2,20, 999.9, 0,   0.5,20,   1.0,  15.0,   77.4*,  53.6*, 0.00I,999.9, 000000,
720134,99999, 20131021,   65.2,22,   13.1,18, 9999.9, 0,  889.8,18, 999.9, 0,   0.6,17,   1.2,  18.3,   77.0*,  58.1*, 0.00I,999.9, 000000,
720134,99999, 20131022,   66.0,23,   18.6,19, 9999.9, 0,  891.9,19, 999.9, 0,   0.5,19,   0.8,  14.4,   76.3*,  55.9*, 0.00I,999.9, 000000,
720134,99999, 20131023,   65.4,23,   18.1,22, 9999.9, 0,  889.9,22, 999.9, 0,   0.5,22,   1.2,  15.9,   77.5*,  55.8*, 0.00I,999.9, 000000,
720134,99999, 20131024,   67.0,24,   16.6,22, 9999.9, 0,  888.7,22, 999.9, 0,   0.6,22,   1.2,  18.3,   78.1*,  58.6*, 0.00I,999.9, 000000,
720134,99999, 20131025,   67.2,24,   18.7,23, 9999.9, 0,  891.8,23, 999.9, 0,   0.3,23,   0.6,  10.5,   79.9*,  58.3*, 0.00I,999.9, 000000,
720134,99999, 20131026,   65.9,24,   16.0,23, 9999.9, 0,  894.2,23, 999.9, 0,   0.4,23,   1.2,  18.3,   79.7*,  55.4*, 0.00I,999.9, 000000,
720134,99999, 20131027,   66.1,23,   18.7,18, 9999.9, 0,  889.0,18, 999.9, 0,   0.6,18,   1.9,  28.6,   77.9*,  57.0*, 0.00I,999.9, 000000,
720134,99999, 20131028,   59.4,24,   21.4,18, 9999.9, 0,  876.2,18, 999.9, 0,   2.1,18,   2.7, 999.9,   73.8*,  49.5*, 0.00I,999.9, 000000,
720134,99999, 20131029,   47.7,24,   30.1,22, 9999.9, 0,  882.6,22, 999.9, 0,   0.8,22,   2.3,  35.0,   53.8*,  41.0*, 0.00I,999.9, 000000,
720134,99999, 20131030,   46.8,24,   28.5,24, 9999.9, 0,  888.5,24, 999.9, 0,   0.5,24,   1.0,  17.1,   57.6*,  38.7*, 0.00I,999.9, 000000,
720134,99999, 20131031,   50.1,24,   21.3,24, 9999.9, 0,  892.2,24, 999.9, 0,   0.5,22,   1.0,  16.5,   63.9*,  42.8*, 0.00I,999.9, 000000,
720134,99999, 20131101,   56.2,24,   25.2,24, 9999.9, 0,  894.5,24, 999.9, 0,   0.6,22,   1.2,  18.8,   68.7*,  48.9*, 0.00I,999.9, 000000,
720134,99999, 20131102,   58.0,24,   23.3,24, 9999.9, 0,  891.5,24, 999.9, 0,   0.3,24,   0.8,  11.5,   69.1*,  46.8*, 0.00I,999.9, 000000,
720134,99999, 20131103,   58.7,17,   20.7,17, 9999.9, 0,  884.4,17, 999.9, 0,   0.3,17,   0.8,  12.6,   68.4*,  50.9*, 0.00I,999.9, 000000,
720134,99999, 20131104,   51.9,24,   15.2,23, 9999.9, 0,  883.8,23, 999.9, 0,   1.2,23,   1.6,  27.2,   66.2*,  46.4*, 0.00I,999.9, 000000,
720134,99999, 20131105,   46.2,24,   12.1,24, 9999.9, 0,  891.7,24, 999.9, 0,   0.9,23,   1.2,  18.6,   55.6*,  36.7*, 0.00I,999.9, 000000,
720134,99999, 20131106,   50.1,24,    8.3,23, 9999.9, 0,  897.8,23, 999.9, 0,   0.7,23,   1.0,  14.8,   66.2*,  43.2*, 0.00I,999.9, 000000,
720134,99999, 20131107,   55.7,23,   17.6,23, 9999.9, 0,  897.2,23, 999.9, 0,   0.3,23,   0.8,  13.2,   66.4*,  48.6*, 0.00I,999.9, 000000,
720134,99999, 20131108,   56.0,24,   15.6,24, 9999.9, 0,  892.0,24, 999.9, 0,   0.3,24,   0.8,  13.0,   68.0*,  47.3*, 0.00I,999.9, 000000,
720134,99999, 20131109,   56.5,24,   12.5,23, 9999.9, 0,  891.0,23, 999.9, 0,   0.3,23,   0.6,  11.3,   68.9*,  46.9*, 0.00I,999.9, 000000,
720134,99999, 20131110,   57.8,24,   12.5,24, 9999.9, 0,  893.7,24, 999.9, 0,   0.4,24,   1.0,  15.7,   71.4*,  50.5*, 0.00I,999.9, 000000,
720134,99999, 20131111,   60.2,24,   14.9,22, 9999.9, 0,  894.9,22, 999.9, 0,   0.5,22,   1.2,  16.1,   75.6*,  52.3*, 0.00I,999.9, 000000,
720134,99999, 20131112,   65.0,22,   12.5,22, 9999.9, 0,  897.1,22, 999.9, 0,   0.4,22,   1.0,  16.9,   74.1*,  59.7*, 0.00I,999.9, 000000,
720134,99999, 20131113,   64.0,23,   13.1,22, 9999.9, 0,  895.5,22, 999.9, 0,   0.5,22,   1.0,  14.2,   74.3*,  57.2*, 0.00I,999.9, 000000,
720134,99999, 20131114,   61.3,24,   18.9,24, 9999.9, 0,  891.7,24, 999.9, 0,   0.7,23,   1.4,  20.2,   73.0*,  52.3*, 0.00I,999.9, 000000,
720134,99999, 20131115,   58.0,24,   18.5,24, 9999.9, 0,  880.2,24, 999.9, 0,   0.4,24,   1.0,  16.5,   66.2*,  49.5*, 0.00I,999.9, 000000,
720134,99999, 20131116,   51.8,24,   21.5,23, 9999.9, 0,  879.0,23, 999.9, 0,   0.7,23,   1.7,  27.0,   63.7*,  43.2*, 0.00I,999.9, 000000,
720134,99999, 20131117,   49.5,16,   31.3,16, 9999.9, 0,  884.4,16, 999.9, 0,   0.4,16,   1.7,  23.9,   60.6*,  41.9*, 0.00I,999.9, 000000,
720134,99999, 20131118,   51.8,24,   31.9,24, 9999.9, 0,  892.0,24, 999.9, 0,   0.4,24,   0.8,  13.0,   61.2*,  45.9*, 0.00I,999.9, 000000,
720134,99999, 20131119,   52.9,24,   34.4,24, 9999.9, 0,  888.3,24, 999.9, 0,   0.3,24,   0.8,  11.8,   59.0*,  46.9*, 0.00I,999.9, 000000,
720134,99999, 20131120,   51.7,24,   34.8,24, 9999.9, 0,  885.0,24, 999.9, 0,   0.3,24,   0.6,  10.5,   59.7*,  45.9*, 0.00I,999.9, 000000,
720134,99999, 20131121,   50.5,24,   37.7,23, 9999.9, 0,  883.4,23, 999.9, 0,   0.3,23,   0.6,  10.9,   58.3*,  45.3*, 0.00I,999.9, 000000,
720134,99999, 20131122,   40.8,23,   33.6,22, 9999.9, 0,  887.9,21, 999.9, 0,   1.3,22,   1.9,  31.9,   44.8*,  36.9*, 0.00I,999.9, 000000,
720134,99999, 20131123,   40.9,24,   33.2,24, 9999.9, 0,  889.4,24, 999.9, 0,   0.9,24,   1.6,  26.2,   42.1*,  39.6*, 0.00I,999.9, 000000,
720134,99999, 20131124,   42.4,24,   33.5,24, 9999.9, 0,  892.3,24, 999.9, 0,   0.4,24,   0.8,  12.6,   52.2*,  39.0*, 0.00I,999.9, 000000,
720134,99999, 20131125,   46.9,24,   29.8,23, 9999.9, 0,  895.4,24, 999.9, 0,   0.4,24,   1.2,  17.3,   59.7*,  40.5*, 0.00I,999.9, 000000,
720134,99999, 20131126,   51.5,24,   26.9,23, 9999.9, 0,  897.1,23, 999.9, 0,   0.7,23,   1.0,  15.9,   60.3*,  45.5*, 0.00I,999.9, 000000,
720134,99999, 20131127,   49.8,24,   29.0,23, 9999.9, 0,  893.4,23, 999.9, 0,   0.4,23,   0.8,  14.6,   57.2*,  44.1*, 0.00I,999.9, 000000,
720134,99999, 20131128,   48.3,24,   30.7,24, 9999.9, 0,  889.9,24, 999.9, 0,   0.4,23,   0.8,  13.8,   55.2*,  41.7*, 0.00I,999.9, 000000,
