STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722151,14794, 20131001,   59.9,24,   51.1,24, 1013.9,24, 1011.1,24,  10.0,24,   2.8,24,   8.9, 999.9,   77.0 ,  45.0 , 0.00G,999.9, 000000,
722151,14794, 20131002,   63.7,24,   57.4,24, 1013.1,24, 1010.2,24,   9.3,24,   2.7,24,  11.1,  17.1,   77.0 ,  45.0 , 0.00G,999.9, 000000,
722151,14794, 20131003,   63.2,24,   53.2,24, 1017.3,24, 1014.4,24,   9.1,24,   2.3,24,   6.0, 999.9,   77.0 ,  48.0 , 0.00G,999.9, 000000,
722151,14794, 20131004,   62.0,24,   57.1,24, 1017.8,24, 1014.9,24,   9.8,24,   1.9,24,   7.0, 999.9,   77.0 ,  48.0 , 0.00G,999.9, 000000,
722151,14794, 20131005,   61.8,24,   58.7,24, 1018.3,19, 1015.4,24,   9.1,24,   2.9,24,   7.0, 999.9,   75.9 ,  51.1 , 0.35G,999.9, 010010,
722151,14794, 20131006,   60.3,24,   58.5,24, 1020.2,12, 1017.7,24,   6.5,24,   4.2,24,   8.9,  17.1,   62.6*,  57.2*, 0.01B,999.9, 010000,
722151,14794, 20131007,   66.7,24,   64.9,24, 1015.7,19, 1013.2,24,   5.5,24,   7.9,24,  14.0,  22.9,   72.0 ,  57.9 , 0.01B,999.9, 110000,
722151,14794, 20131008,   62.2,24,   48.4,24, 1020.2,22, 1016.0,24,   9.8,24,   5.9,24,  11.1,  15.9,   72.0 ,  52.0 , 0.00H,999.9, 010000,
722151,14794, 20131009,   52.8,24,   43.8,24, 1028.5,24, 1025.5,24,  10.0,24,   4.5,24,  12.0,  17.1,   68.0 ,  44.1 , 0.00G,999.9, 000000,
722151,14794, 20131010,   55.9,24,   49.7,24, 1024.5,21, 1021.7,24,  10.0,24,   5.3,24,   8.9,  15.0,   66.0 ,  44.1 , 0.00G,999.9, 000000,
722151,14794, 20131011,   61.0,24,   55.3,24, 1019.0,23, 1016.1,24,  10.0,24,   6.8,24,   8.9,  18.1,   68.0 ,  48.9 , 0.00G,999.9, 000000,
722151,14794, 20131012,   59.1,24,   48.8,24, 1021.8,21, 1019.3,24,  10.0,24,   7.2,24,  13.0,  21.0,   72.0 ,  51.1 , 0.00G,999.9, 000000,
722151,14794, 20131013,   55.2,24,   48.4,24, 1028.3,20, 1025.3,24,  10.0,24,   5.6,24,   8.9,  15.9,   72.0 ,  48.9 , 0.00G,999.9, 000000,
722151,14794, 20131014,   49.0,24,   43.9,24, 1027.8,23, 1024.8,24,  10.0,24,   2.8,24,   6.0, 999.9,   61.0 ,  36.0 , 0.00G,999.9, 000000,
722151,14794, 20131015,   52.2,24,   44.4,24, 1024.0,24, 1021.0,24,   9.9,24,   3.0,24,   8.9, 999.9,   66.9 ,  36.0 , 0.00G,999.9, 000000,
722151,14794, 20131016,   56.2,24,   51.8,24, 1018.6,23, 1015.5,24,  10.0,24,   3.2,24,   6.0, 999.9,   68.0 ,  39.9 , 0.00G,999.9, 000000,
722151,14794, 20131017,   60.4,24,   57.7,24, 1012.0,17, 1009.0,24,   9.3,24,   3.2,24,   8.9, 999.9,   68.0 ,  48.0 , 0.00G,999.9, 000000,
722151,14794, 20131018,   63.3,24,   54.5,24, 1008.5,21, 1005.2,24,   9.2,24,   7.4,24,  12.0,  22.0,   69.1 ,  55.0 , 0.00G,999.9, 010000,
722151,14794, 20131019,   52.3,24,   43.1,24, 1013.8,24, 1010.9,24,  10.0,24,   2.4,24,   8.0, 999.9,   69.1 ,  37.9 , 0.00G,999.9, 000000,
722151,14794, 20131020,   58.2,24,   43.5,24, 1010.4,23, 1007.3,24,  10.0,24,   4.9,24,   9.9,  15.9,   64.9 ,  37.9 , 0.00G,999.9, 010000,
722151,14794, 20131021,   48.7,24,   37.8,24, 1018.8,24, 1015.8,24,  10.0,24,   3.2,24,   8.9, 999.9,   64.0 ,  33.1 , 0.00G,999.9, 000000,
722151,14794, 20131022,   59.4,24,   49.0,24, 1011.9,23, 1009.0,24,  10.0,24,   6.1,24,  12.0,  15.9,   66.9 ,  33.1 , 0.00G,999.9, 000000,
722151,14794, 20131023,   46.2,24,   38.7,24, 1006.8,24, 1003.9,24,  10.0,24,   2.4,24,   7.0, 999.9,   66.9 ,  36.0 , 0.00G,999.9, 010000,
722151,14794, 20131024,   45.8,24,   30.9,24, 1008.9,24, 1006.0,24,  10.0,24,   4.1,24,  14.0,  19.0,   55.0 ,  36.0 , 0.00G,999.9, 000000,
722151,14794, 20131025,   43.4,24,   27.1,24, 1016.7,24, 1013.7,24,  10.0,24,   4.7,24,  13.0,  24.1,   55.0 ,  30.9 , 0.00G,999.9, 000000,
722151,14794, 20131026,   41.7,24,   30.1,24, 1020.1,24, 1017.2,24,  10.0,24,   6.0,24,  19.0,  29.9,   55.0 ,  26.1 , 0.00G,999.9, 010000,
722151,14794, 20131027,   51.8,24,   34.5,24, 1012.8,24, 1009.9,24,   9.9,24,   6.5,24,  15.9,  25.1,   59.0 ,  26.1 , 0.00G,999.9, 010000,
722151,14794, 20131028,   42.7,24,   32.4,24, 1021.1,24, 1018.1,24,  10.0,24,   3.4,24,  13.0,  21.0,   59.0 ,  28.0 , 0.00G,999.9, 000000,
722151,14794, 20131029,   45.0,23,   27.4,23, 1028.4,23, 1025.4,23,  10.0,22,   3.8,22,   6.0, 999.9,   57.9 ,  28.0 , 0.00G,999.9, 000000,
722151,14794, 20131030,   45.5,24,   37.7,24, 1026.1,21, 1022.9,24,  10.0,24,   2.0,24,   7.0, 999.9,   57.9 ,  34.0 , 0.00G,999.9, 000000,
722151,14794, 20131031,   51.0,24,   48.1,24, 1021.4,20, 1018.2,24,   8.4,24,   4.0,24,  13.0,  20.0,   63.0 ,  35.1 , 0.00G,999.9, 010000,
722151,14794, 20131101,   63.3,24,   59.5,24, 1005.8,21, 1003.0,24,   7.7,24,  12.5,24,  22.0,  35.0,   66.2*,  61.0*, 0.02G,999.9, 010000,
722151,14794, 20131102,   58.4,24,   51.5,24, 1004.4,24, 1001.6,24,  10.0,24,   2.8,24,   6.0, 999.9,   66.9 ,  52.0 , 0.02G,999.9, 000000,
722151,14794, 20131103,   48.5,24,   36.9,24, 1014.4,22, 1011.7,24,  10.0,24,   5.9,24,  12.0,  18.1,   63.0 ,  43.0 , 0.00G,999.9, 000000,
722151,14794, 20131104,   37.1,24,   17.7,24, 1033.9,24, 1030.9,24,  10.0,24,   6.2,24,   9.9,  15.0,   53.1 ,  30.0 , 0.00G,999.9, 000000,
722151,14794, 20131105,   37.8,23,   28.6,23, 1039.2,16, 1035.3,23,  10.0,21,   4.4,23,   8.0, 999.9,   48.9 ,  28.0 , 0.00G,999.9, 000000,
722151,14794, 20131106,   45.7,24,   39.8,24, 1029.0,19, 1027.1,24,  10.0,24,   4.1,24,  12.0,  18.1,   59.0 ,  33.1 , 0.00I,999.9, 000000,
722151,14794, 20131107,   57.3,24,   55.2,24, 1015.0,12, 1010.2,24,   7.8,24,   8.1,24,  12.0,  26.0,   62.1 ,  33.1 , 0.04G,999.9, 010000,
722151,14794, 20131108,   42.4,24,   30.0,24, 1013.6,24, 1010.7,24,  10.0,24,   5.4,24,  11.1,  18.1,   62.1 ,  32.0 , 0.25G,999.9, 000000,
722151,14794, 20131109,   39.8,24,   24.4,24, 1022.0,24, 1019.0,24,  10.0,24,   4.2,24,   8.9,  15.9,   51.1 ,  32.0 , 0.00G,999.9, 000000,
722151,14794, 20131110,   50.7,24,   37.2,24, 1013.2,24, 1010.3,24,   9.7,24,   8.4,24,  12.0,  17.1,   57.0 ,  33.1 , 0.00G,999.9, 010000,
722151,14794, 20131111,   46.1,24,   29.9,24, 1017.1,24, 1014.1,24,  10.0,24,   8.1,24,  13.0,  21.0,   57.0 ,  41.0 , 0.00G,999.9, 000000,
722151,14794, 20131112,   42.1,24,   30.4,24, 1016.6,21, 1013.8,24,   9.6,24,   8.2,24,  15.9,  28.0,   53.1 ,  32.0 , 0.00G,999.9, 011000,
722151,14794, 20131113,   31.0,24,   13.2,24, 1024.2,24, 1021.2,24,  10.0,24,   8.8,24,  15.9,  25.1,   52.0 ,  25.0 , 0.00G,999.9, 000000,
722151,14794, 20131114,   39.8,24,   21.6,24, 1022.0,24, 1019.0,24,  10.0,24,   7.3,24,  14.0,  20.0,   48.9 ,  25.0 , 0.00G,999.9, 000000,
722151,14794, 20131115,   49.4,24,   33.8,24, 1022.6,24, 1019.6,24,  10.0,24,   6.8,24,  11.1,  20.0,   55.9 ,  32.0 , 0.00G,999.9, 000000,
722151,14794, 20131116,   48.6,24,   40.0,24, 1025.1,24, 1022.1,24,   9.8,24,   4.0,24,   8.9, 999.9,   55.9 ,  37.0 , 0.00G,999.9, 000000,
722151,14794, 20131117,   47.2,24,   45.4,24, 1025.1,17, 1020.8,24,   5.6,24,   3.6,24,   9.9, 999.9,   59.0 ,  34.0 , 0.00G,999.9, 010000,
722151,14794, 20131118,   58.3,24,   52.7,20, 1005.4,17, 1003.4,24,   5.8,24,   9.7,24,  18.1,  28.9,   61.0*,  54.0*, 0.33G,999.9, 110000,
722151,14794, 20131119,   45.8,24,   25.5,24, 1011.7,24, 1008.7,24,  10.0,24,   8.2,23,  14.0,  29.9,   62.1 ,  37.9 , 0.22G,999.9, 000000,
722151,14794, 20131120,   34.4,24,   15.2,24, 1030.6,24, 1027.6,24,  10.0,24,   5.3,24,   9.9,  20.0,   50.0 ,  26.1 , 0.00G,999.9, 000000,
722151,14794, 20131121,   31.4,24,   21.3,24, 1036.0,24, 1032.9,24,  10.0,24,   1.7,24,   7.0, 999.9,   46.0 ,  19.0 , 0.00G,999.9, 000000,
722151,14794, 20131122,   47.5,24,   43.3,24, 1023.3,19, 1020.3,24,   8.9,24,   3.7,24,   9.9,  15.9,   53.6*,  37.9*, 0.00G,999.9, 010000,
722151,14794, 20131123,   45.8,24,   31.2,24, 1011.8,23, 1009.0,24,   9.3,24,   7.1,24,  15.9,  28.9,   53.1 ,  39.0 , 0.00G,999.9, 010000,
722151,14794, 20131124,   27.1,24,    5.8,24, 1014.6,24, 1011.6,24,  10.0,24,  10.8,24,  18.1,  31.1,   52.0 ,  23.0 , 0.00G,999.9, 000000,
722151,14794, 20131125,   25.4,24,    4.7,24, 1027.4,24, 1024.4,24,  10.0,24,   6.4,23,  11.1,  29.9,   34.0 ,  19.0 , 0.00G,999.9, 000000,
722151,14794, 20131126,   38.8,24,   24.7,24, 1026.4,24, 1023.4,24,   9.7,24,   7.1,24,  18.1,  25.1,   43.0 ,  19.0 , 0.00G,999.9, 010000,
722151,14794, 20131127,   52.4,24,   52.0,24, 1003.8, 6,  999.2,24,   3.8,24,  11.8,24,  25.1,  36.9,   60.1 ,  37.0 , 0.56G,999.9, 110000,
722151,14794, 20131128,   34.9,24,   20.7,24, 1014.1,23, 1008.8,24,   9.9,24,   8.6,24,  12.0,  22.0,   41.0*,  28.0*, 1.06G,999.9, 010000,
722151,14794, 20131129,   29.8,24,   14.6,24, 1034.0,24, 1030.9,24,  10.0,24,   3.1,24,   8.9, 999.9,   37.9 ,  26.1 , 0.00G,999.9, 000000,
722151,14794, 20131130,   26.2,24,   14.2,24, 1039.9,24, 1036.9,24,  10.0,24,   3.2,24,   7.0, 999.9,   37.0 ,  16.0 , 0.00G,999.9, 000000,
722151,14794, 20131201,   43.6,24,   38.0,24, 1026.1,18, 1021.5,24,   8.0,24,   7.1,24,  12.0,  19.0,   51.1 ,  16.0 , 0.00G,999.9, 110000,
722151,14794, 20131202,   39.4,24,   38.2,24, 1014.9,16, 1012.3,24,   5.0,24,   3.2,24,   7.0, 999.9,   51.1 ,  34.0 , 0.22G,999.9, 000000,
722151,14794, 20131203,   39.9,24,   34.2,24, 1012.5,17, 1009.6,24,   5.6,24,   4.7,24,   8.0, 999.9,   52.0 ,  32.0 , 0.00G,999.9, 100000,
722151,14794, 20131204,   38.0,24,   30.5,24, 1018.2,24, 1015.2,24,   8.5,24,   2.3,24,   7.0, 999.9,   52.0 ,  28.0 , 0.00G,999.9, 000000,
722151,14794, 20131205,   45.3,24,   43.5,24, 1020.6,18, 1017.2,24,   4.4,24,   3.4,24,   7.0, 999.9,   54.0 ,  28.0 , 0.00G,999.9, 100000,
722151,14794, 20131206,   51.4,24,   50.3,24, 1015.1,12, 1011.9,24,   5.1,24,   6.3,24,  11.1,  17.1,   55.9 ,  33.1 , 0.00G,999.9, 110000,
722151,14794, 20131207,   37.7,24,   31.3,24, 1023.3,17, 1019.4,24,   8.1,24,   7.8,24,  15.0,  21.0,   55.9 ,  32.0 , 0.41G,999.9, 010000,
