STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720171,99999, 20160804,   89.6, 9,   76.4, 9, 9999.9, 0, 9999.9, 0,  10.0, 9,   4.7, 9,  11.1,  15.0,   95.0*,  84.2*, 0.00I,999.9, 000000,
720171,99999, 20160805,   83.5,24,   75.7,24, 9999.9, 0, 9999.9, 0,   9.6,24,   2.0,24,   8.0,  11.1,   95.0*,  73.4*, 0.00I,999.9, 000000,
720171,99999, 20160806,   81.7,24,   74.7,24, 9999.9, 0, 9999.9, 0,   9.6,24,   2.1,24,  11.1,  14.0,   91.4*,  73.4*, 0.00I,999.9, 000000,
720171,99999, 20160807,   79.9,24,   74.1,24, 9999.9, 0, 9999.9, 0,   8.4,24,   1.8,24,   8.0,  14.0,   87.8*,  75.2*, 0.00I,999.9, 000000,
720171,99999, 20160808,   82.2,18,   71.7,18, 9999.9, 0, 9999.9, 0,  10.0,18,   3.1,18,   8.9,   9.9,   89.6*,  73.4*, 0.00I,999.9, 000000,
720171,99999, 20160809,   80.6,24,   71.9,24, 9999.9, 0, 9999.9, 0,   9.6,24,   1.3,24,   5.1, 999.9,   91.4*,  71.6*, 0.00I,999.9, 000000,
720171,99999, 20160810,   82.0,24,   75.1,24, 9999.9, 0, 9999.9, 0,   9.3,24,   2.9,24,   9.9, 999.9,   89.6*,  73.4*, 0.00I,999.9, 000000,
720171,99999, 20160811,   80.5,24,   74.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.5,24,  12.0, 999.9,   87.8*,  73.4*, 0.00I,999.9, 000000,
720171,99999, 20160812,   80.3,24,   75.5,24, 9999.9, 0, 9999.9, 0,   8.6,24,   4.0,24,   9.9,  14.0,   87.8*,  77.0*, 0.00I,999.9, 000000,
720171,99999, 20160813,   80.4,24,   73.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.5,24,  13.0,  20.0,   87.8*,  75.2*, 0.00I,999.9, 000000,
720171,99999, 20160814,   79.7,24,   72.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.8,24,  13.0,  21.0,   91.4*,  73.4*, 0.00I,999.9, 000000,
720171,99999, 20160815,   78.7,24,   73.6,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.2,24,  14.0,  21.0,   89.6*,  75.2*, 0.00I,999.9, 000000,
720171,99999, 20160816,   76.0,24,   72.9,24, 9999.9, 0, 9999.9, 0,   8.9,24,   2.9,24,   9.9,  22.0,   84.2*,  71.6*, 0.00I,999.9, 100000,
720171,99999, 20160817,   75.9,24,   72.7,24, 9999.9, 0, 9999.9, 0,   9.8,24,   2.5,24,   8.0, 999.9,   82.4*,  71.6*, 0.00I,999.9, 000000,
720171,99999, 20160818,   76.7,24,   73.6,24, 9999.9, 0, 9999.9, 0,   8.2,24,   0.2,24,   7.0, 999.9,   80.6*,  73.4*, 0.00I,999.9, 100000,
720171,99999, 20160819,   76.9,24,   72.8,24, 9999.9, 0, 9999.9, 0,   9.9,24,   1.9,24,   8.0,   9.9,   84.2*,  73.4*, 0.00I,999.9, 000000,
720171,99999, 20160820,   77.5,24,   74.0,24, 9999.9, 0, 9999.9, 0,   9.3,24,   5.1,24,  13.0,  18.1,   82.4*,  73.4*, 0.00I,999.9, 000000,
720171,99999, 20160821,   76.2,24,   72.1,24, 9999.9, 0, 9999.9, 0,   9.0,24,   3.1,24,   7.0,  14.0,   82.4*,  71.6*, 0.00I,999.9, 000000,
720171,99999, 20160822,   72.0,24,   65.3,24, 9999.9, 0, 9999.9, 0,   9.0,24,   1.8,24,   7.0,  12.0,   82.4*,  62.6*, 0.00I,999.9, 000000,
720171,99999, 20160823,   75.7,24,   70.4,24, 9999.9, 0, 9999.9, 0,   9.7,24,   2.4,24,   7.0,   9.9,   87.8*,  68.0*, 0.00I,999.9, 000000,
720171,99999, 20160824,   80.8,24,   73.6,24, 9999.9, 0, 9999.9, 0,   9.8,24,   2.5,24,   8.9,  11.1,   93.2*,  71.6*, 0.00I,999.9, 000000,
720171,99999, 20160825,   81.2,24,   75.0,24, 9999.9, 0, 9999.9, 0,   9.6,24,   1.3,24,   9.9,  17.1,   89.6*,  73.4*, 0.00I,999.9, 000000,
720171,99999, 20160826,   77.4,24,   74.5,24, 9999.9, 0, 9999.9, 0,   7.6,24,   0.8,24,  17.1,  24.1,   89.6*,  73.4*, 0.00I,999.9, 000000,
720171,99999, 20160827,   76.8,24,   72.2,24, 9999.9, 0, 9999.9, 0,   9.3,24,   1.7,24,   8.9,  15.9,   89.6*,  68.0*, 0.00I,999.9, 100000,
720171,99999, 20160828,   77.3,21,   72.9,21, 9999.9, 0, 9999.9, 0,   7.5,21,   0.6,21,   6.0, 999.9,   89.6*,  69.8*, 0.00I,999.9, 000000,
720171,99999, 20160829,   80.5,24,   73.3,24, 9999.9, 0, 9999.9, 0,   9.5,24,   2.0,24,   7.0,  14.0,   91.4*,  71.6*, 0.00I,999.9, 000000,
720171,99999, 20160830,   79.9,24,   71.5,24, 9999.9, 0, 9999.9, 0,   7.5,24,   1.5,24,   7.0, 999.9,   91.4*,  69.8*, 0.00I,999.9, 100000,
720171,99999, 20160831,   79.6,24,   71.9,24, 9999.9, 0, 9999.9, 0,   8.4,24,   0.6,24,   7.0,  11.1,   93.2*,  69.8*, 0.00I,999.9, 000000,
720171,99999, 20160901,   76.5,24,   72.3,24, 9999.9, 0, 9999.9, 0,   7.7,24,   3.1,24,  11.1,  15.0,   84.2*,  71.6*, 0.00I,999.9, 000000,
720171,99999, 20160902,   73.6,24,   63.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.6,24,   9.9,  17.1,   82.4*,  62.6*, 0.00I,999.9, 000000,
720171,99999, 20160903,   70.9,24,   61.2,24, 9999.9, 0, 9999.9, 0,   9.4,24,   1.2,24,   6.0,  11.1,   86.0*,  57.2*, 0.00I,999.9, 100000,
720171,99999, 20160904,   73.8,20,   68.4,20, 9999.9, 0, 9999.9, 0,   9.5,20,   2.5,20,   8.0,  11.1,   89.6*,  66.2*, 0.00I,999.9, 000000,
720171,99999, 20160905,   81.1,20,   70.8,20, 9999.9, 0, 9999.9, 0,  10.0,20,   4.3,20,  11.1,  14.0,   93.2*,  71.6*, 0.00I,999.9, 000000,
720171,99999, 20160906,   77.9,24,   68.0,24, 9999.9, 0, 9999.9, 0,   9.0,24,   2.3,24,   9.9,  13.0,   91.4*,  64.4*, 0.00I,999.9, 000000,
720171,99999, 20160907,   78.8,24,   67.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.2,24,   9.9,  15.0,   93.2*,  66.2*, 0.00I,999.9, 000000,
720171,99999, 20160908,   78.7,24,   69.9,24, 9999.9, 0, 9999.9, 0,   9.9,24,   3.3,24,  11.1,  14.0,   89.6*,  69.8*, 0.00I,999.9, 000000,
720171,99999, 20160909,   79.5,24,   71.7,24, 9999.9, 0, 9999.9, 0,   9.5,24,   3.8,24,   9.9,  18.1,   89.6*,  69.8*, 0.00I,999.9, 000000,
720171,99999, 20160910,   78.3,19,   71.2,19, 9999.9, 0, 9999.9, 0,  10.0,18,   2.9,19,  12.0,  20.0,   89.6*,  73.4*, 0.00I,999.9, 000000,
720171,99999, 20160914,   88.0, 9,   69.6, 9, 9999.9, 0, 9999.9, 0,  10.0, 9,   2.6, 9,   7.0,   9.9,   91.4*,  86.0*, 0.00I,999.9, 000000,
720171,99999, 20160915,   79.8,24,   68.3,24, 9999.9, 0, 9999.9, 0,   9.4,24,   1.8,24,   7.0,  12.0,   95.0*,  66.2*, 0.00I,999.9, 000000,
720171,99999, 20160916,   81.0,24,   67.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.7,24,  11.1,  20.0,   95.0*,  68.0*, 0.00I,999.9, 000000,
720171,99999, 20160917,   77.9,24,   69.3,24, 9999.9, 0, 9999.9, 0,   8.4,24,   3.9,24,   8.0, 999.9,   87.8*,  69.8*, 0.00I,999.9, 000000,
720171,99999, 20160918,   74.7,24,   72.6,24, 9999.9, 0, 9999.9, 0,   6.4,24,   0.9,24,   6.0, 999.9,   82.4*,  71.6*, 0.00I,999.9, 100000,
720171,99999, 20160919,   75.9,22,   68.1,22, 9999.9, 0, 9999.9, 0,   6.7,22,   1.6,22,   8.0,   9.9,   86.0*,  66.2*, 0.00I,999.9, 100000,
720171,99999, 20160920,   71.4,22,   63.3,22, 9999.9, 0, 9999.9, 0,   6.1,22,   1.0,22,   7.0,   9.9,   89.6*,  59.0*, 0.00I,999.9, 100000,
720171,99999, 20160922,   75.4,24,   64.6,24, 9999.9, 0, 9999.9, 0,   7.6,24,   1.2,24,   7.0, 999.9,   93.2*,  60.8*, 0.00I,999.9, 100000,
720171,99999, 20160923,   77.2,24,   66.0,24, 9999.9, 0, 9999.9, 0,   8.7,24,   0.6,24,   7.0,  11.1,   93.2*,  64.4*, 0.00I,999.9, 000000,
720171,99999, 20160924,   77.4,24,   66.7,24, 9999.9, 0, 9999.9, 0,   7.9,24,   0.9,24,   6.0, 999.9,   93.2*,  66.2*, 0.00I,999.9, 000000,
720171,99999, 20160925,   78.3,24,   65.6,24, 9999.9, 0, 9999.9, 0,   9.4,24,   1.4,24,   8.0, 999.9,   93.2*,  64.4*, 0.00I,999.9, 000000,
720171,99999, 20160926,   70.4,24,   64.7,24, 9999.9, 0, 9999.9, 0,   9.7,24,   3.6,24,  11.1,  19.0,   82.4*,  64.4*, 0.00I,999.9, 000000,
720171,99999, 20160927,   63.5,24,   51.3,24, 9999.9, 0, 9999.9, 0,   8.8,24,   1.6,24,   7.0,  13.0,   78.8*,  51.8*, 0.00I,999.9, 000000,
720171,99999, 20160928,   63.6,24,   49.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.9,24,  13.0,  20.0,   86.0*,  48.2*, 0.00I,999.9, 000000,
720171,99999, 20160929,   61.4,24,   48.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.6,24,  11.1,  20.0,   75.2*,  44.6*, 0.00I,999.9, 000000,
720171,99999, 20160930,   60.4,24,   53.1,24, 9999.9, 0, 9999.9, 0,   9.7,24,   1.6,24,   8.0,  11.1,   73.4*,  51.8*, 0.00I,999.9, 100000,
720171,99999, 20161001,   63.0,24,   54.6,24, 9999.9, 0, 9999.9, 0,   8.7,24,   1.9,24,   8.0,  12.0,   75.2*,  50.0*, 0.00I,999.9, 000000,
720907,99999, 20150609,   71.5,24,   60.9,24, 9999.9, 0, 9999.9, 0,   8.0,24,   1.1,24,   6.0, 999.9,   84.2*,  64.4*, 0.00I,999.9, 000000,
720907,99999, 20150610,   72.1,24,   59.0,24, 9999.9, 0, 9999.9, 0,   8.1,24,   0.5,24,   6.0, 999.9,   87.8*,  59.0*, 0.00I,999.9, 000000,
720907,99999, 20150611,   74.6,24,   63.4,24, 9999.9, 0, 9999.9, 0,   7.6,24,   0.8,24,   7.0, 999.9,   89.6*,  60.8*, 0.00I,999.9, 000000,
720907,99999, 20150612,   74.4,24,   65.9,24, 9999.9, 0, 9999.9, 0,   9.1,24,   2.0,24,  11.1, 999.9,   86.0*,  64.4*, 0.00I,999.9, 000000,
720907,99999, 20150613,   76.4,24,   64.8,24, 9999.9, 0, 9999.9, 0,   7.9,24,   1.6,24,   8.0, 999.9,   89.6*,  66.2*, 0.00I,999.9, 000000,
720907,99999, 20150614,   77.6,24,   66.0,24, 9999.9, 0, 9999.9, 0,   8.8,24,   1.8,24,   8.0, 999.9,   89.6*,  64.4*, 0.00I,999.9, 000000,
720907,99999, 20150615,   77.8,24,   63.6,24, 9999.9, 0, 9999.9, 0,   9.1,24,   1.4,24,   8.0, 999.9,   93.2*,  64.4*, 0.00I,999.9, 000000,
720907,99999, 20150616,   79.4,24,   63.7,24, 9999.9, 0, 9999.9, 0,   9.7,24,   1.7,24,   8.0,  15.0,   93.2*,  64.4*, 0.00I,999.9, 000000,
720907,99999, 20150617,   80.9,21,   65.4,21, 9999.9, 0, 9999.9, 0,   8.8,21,   1.5,21,   7.0, 999.9,   93.2*,  66.2*, 0.00I,999.9, 000000,
720907,99999, 20150618,   79.6,24,   68.4,24, 9999.9, 0, 9999.9, 0,  10.0,24,   0.4,24,   6.0, 999.9,   89.6*,  69.8*, 0.00I,999.9, 000000,
720907,99999, 20150619,   77.4,24,   69.5,24, 9999.9, 0, 9999.9, 0,   9.9,24,   1.2,24,   6.0, 999.9,   86.0*,  71.6*, 0.00I,999.9, 000000,
720907,99999, 20150620,   75.4,24,   68.4,24, 9999.9, 0, 9999.9, 0,   9.9,24,   4.3,24,  13.0,  19.0,   82.4*,  69.8*, 0.00I,999.9, 000000,
720907,99999, 20150621,   76.5,24,   66.2,24, 9999.9, 0, 9999.9, 0,   8.4,24,   2.7,24,  19.0,  28.0,   93.2*,  64.4*, 0.00I,999.9, 000000,
