STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720567,24180, 20140724,   89.9, 8,   28.2, 8, 9999.9, 0, 9999.9, 0,  10.0, 8,   3.3, 8,   8.0, 999.9,   93.2 ,  78.8 , 0.00I,999.9, 000000,
720567,24180, 20140725,   75.6,24,   32.4,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.7,24,  14.0,  19.0,   93.2 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140726,   78.4,24,   31.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   1.9,24,   6.0, 999.9,   93.2 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140727,   79.8,24,   29.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.5,24,   8.9,  18.1,   98.1 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140728,   84.0,24,   39.4,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.7,24,  26.0,  32.1,   98.1 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140729,   71.2,24,   58.2,24, 9999.9, 0, 9999.9, 0,   9.9,24,   5.9,24,  27.0,  36.9,   80.2*,  65.8*, 0.00I,999.9, 000000,
720567,24180, 20140730,   71.1,24,   57.2,24, 9999.9, 0, 9999.9, 0,   9.3,24,   5.4,24,  20.0,  28.0,   80.6*,  63.3*, 0.00I,999.9, 000000,
720567,24180, 20140731,   74.0,24,   46.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   7.6,24,  21.0,  32.1,   98.1 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140801,   73.8,24,   50.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   1.7,24,   7.0, 999.9,   98.1 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140802,   78.4,24,   43.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.3,24,   8.9, 999.9,   98.1 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140803,   79.1,24,   44.6,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.3,24,  11.1, 999.9,   98.1 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140804,   74.7,24,   52.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.8,24,  25.1,  31.1,   98.1 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140805,   71.8,24,   56.9,24, 9999.9, 0, 9999.9, 0,   9.3,24,   5.4,24,  15.9,  21.0,   81.7*,  62.4*, 0.00I,999.9, 000000,
720567,24180, 20140806,   69.8,20,   55.0,20, 9999.9, 0, 9999.9, 0,   9.9,20,   3.8,20,  15.0,  20.0,   98.1 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140807,   69.9,19,   50.9,19, 9999.9, 0, 9999.9, 0,  10.0,19,   6.3,19,  26.0,  39.0,   98.1 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140808,   70.2,24,   53.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.0,24,   9.9, 999.9,   98.1 ,  58.5 , 0.00I,999.9, 000000,
720567,24180, 20140809,   71.3,24,   48.6,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.0,24,  22.0,  26.0,   98.1 ,  57.9 , 0.00I,999.9, 000000,
720567,24180, 20140810,   73.0,24,   46.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.6,24,  12.0,  14.0,   98.1 ,  57.9 , 0.00I,999.9, 000000,
720567,24180, 20140811,   76.9,24,   45.1,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.4,24,   7.0, 999.9,   98.1 ,  57.9 , 0.00I,999.9, 000000,
720567,24180, 20140812,   78.7,20,   46.6,20, 9999.9, 0, 9999.9, 0,  10.0,20,   2.6,20,  11.1, 999.9,   98.1 ,  57.9 , 0.00I,999.9, 000000,
720567,24180, 20140813,   69.9,24,   54.8,24, 9999.9, 0, 9999.9, 0,   9.8,24,   4.0,24,  22.9,  34.0,   98.1 ,  57.9 , 0.00I,999.9, 000000,
720567,24180, 20140814,   74.5,24,   54.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.6,24,   9.9, 999.9,   98.1 ,  57.9 , 0.00I,999.9, 000000,
720567,24180, 20140815,   76.0,24,   48.4,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.0,24,  17.1,  20.0,   98.1 ,  57.9 , 0.00I,999.9, 000000,
720567,24180, 20140816,   75.2,24,   44.1,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.8,24,   9.9, 999.9,   98.1 ,  57.9 , 0.00I,999.9, 000000,
720567,24180, 20140817,   75.0,24,   42.1,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.7,24,   7.0, 999.9,   98.1 ,  57.9 , 0.00I,999.9, 000000,
720567,24180, 20140818,   77.4,24,   38.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.6,24,   8.9, 999.9,   98.1 ,  57.9 , 0.00I,999.9, 000000,
720567,24180, 20140819,   77.3,24,   43.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.4,24,  15.9,  22.9,   98.1 ,  57.9 , 0.00I,999.9, 000000,
