STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720492,00151, 20131001,   55.6,24,   46.2,24, 9999.9, 0, 9999.9, 0,   7.5,24,   2.0,24,  11.1,  15.0,   73.8 ,  38.5 , 0.00I,999.9, 100000,
720492,00151, 20131002,   57.6,24,   50.1,24, 9999.9, 0, 9999.9, 0,   5.6,24,   2.3,24,  14.0,  22.0,   73.8 ,  38.5 , 0.00I,999.9, 100000,
720492,00151, 20131003,   58.7,24,   42.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.8,24,   7.0, 999.9,   73.2 ,  43.7 , 0.00I,999.9, 000000,
720492,00151, 20131004,   52.4,24,   43.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   0.2,24,   4.1, 999.9,   69.6 ,  40.8 , 0.00I,999.9, 000000,
720492,00151, 20131005,   55.8,24,   41.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,   1.1,24,   7.0, 999.9,   64.8 ,  40.8 ,99.99 ,999.9, 010000,
720492,00151, 20131006,   49.9,24,   37.9,24, 9999.9, 0, 9999.9, 0,   9.8,24,   2.8,24,   7.0, 999.9,   63.5 ,  43.9 ,99.99 ,999.9, 010000,
720492,00151, 20131007,   55.2,24,   51.2,24, 9999.9, 0, 9999.9, 0,   9.2,24,   5.2,24,  17.1,  29.9,   68.5 ,  43.9 ,99.99 ,999.9, 010000,
720492,00151, 20131008,   50.8,24,   39.1,24, 9999.9, 0, 9999.9, 0,   9.7,24,   5.9,24,  12.0,  18.1,   68.5 ,  43.7 ,99.99 ,999.9, 010000,
720492,00151, 20131009,   44.3,24,   32.9,24, 9999.9, 0, 9999.9, 0,   9.2,24,   1.5,24,   7.0, 999.9,   62.4 ,  30.2 , 0.00I,999.9, 100000,
720492,00151, 20131010,   45.8,24,   35.7,24, 9999.9, 0, 9999.9, 0,   9.9,24,   0.0,24,   2.9, 999.9,   62.4 ,  30.2 , 0.00I,999.9, 000000,
