STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720160,63884, 20131001,   64.3,24,   59.6,24, 9999.9, 0,  957.8,24,   5.8,24, 999.9, 0, 999.9, 999.9,   79.0*,  56.3*, 0.00I,999.9, 100000,
720160,63884, 20131002,   63.8,24,   59.2,24, 9999.9, 0,  959.0,24,   7.2,24, 999.9, 0, 999.9, 999.9,   81.9*,  54.0*, 0.00I,999.9, 100000,
720160,63884, 20131003,   66.0,24,   62.3,24, 9999.9, 0,  958.6,24,   7.0,24, 999.9, 0, 999.9, 999.9,   81.7*,  58.1*, 0.00I,999.9, 000000,
720160,63884, 20131004,   68.1,24,   63.7,24, 9999.9, 0,  958.8,24,   6.0,24, 999.9, 0, 999.9, 999.9,   84.2*,  59.5*, 0.00I,999.9, 100000,
720160,63884, 20131005,   68.8,24,   63.8,24, 9999.9, 0,  958.7,24,   6.7,24, 999.9, 0, 999.9, 999.9,   86.0*,  59.4*, 0.00I,999.9, 100000,
720160,63884, 20131006,   70.0,24,   63.3,24, 9999.9, 0,  954.1,24,   7.1,24, 999.9, 0, 999.9, 999.9,   86.9*,  59.2*, 0.00I,999.9, 100000,
720160,63884, 20131007,   62.8,24,   57.7,24, 9999.9, 0,  951.4,24,   9.3,24, 999.9, 0, 999.9, 999.9,   70.5*,  51.8*,99.99 ,999.9, 010000,
720160,63884, 20131008,   53.4,24,   46.9,24, 9999.9, 0,  959.6,24,   7.7,24, 999.9, 0, 999.9, 999.9,   71.8*,  43.0*, 0.00I,999.9, 100000,
720160,63884, 20131009,   53.7,24,   45.6,24, 9999.9, 0,  961.2,24,   9.8,24, 999.9, 0, 999.9, 999.9,   73.9*,  40.1*, 0.00I,999.9, 000000,
720160,63884, 20131010,   53.7,24,   48.4,24, 9999.9, 0,  959.1,24,  10.0,24, 999.9, 0, 999.9, 999.9,   72.5*,  42.8*, 0.00I,999.9, 000000,
720160,63884, 20131011,   57.5,24,   53.3,24, 9999.9, 0,  955.8,24,  10.0,24, 999.9, 0, 999.9, 999.9,   73.2*,  47.5*,99.99 ,999.9, 010000,
720160,63884, 20131012,   63.1,24,   59.7,24, 9999.9, 0,  956.4,24,  10.0,24, 999.9, 0, 999.9, 999.9,   71.1*,  57.7*, 0.00I,999.9, 000000,
720160,63884, 20131013,   64.2,24,   62.8,24, 9999.9, 0,  960.2,24,   8.0,24, 999.9, 0, 999.9, 999.9,   72.1*,  59.9*,99.99 ,999.9, 010000,
720160,63884, 20131014,   64.2,24,   61.6,24, 9999.9, 0,  962.0,24,   6.4,24, 999.9, 0, 999.9, 999.9,   73.4*,  56.7*, 0.00I,999.9, 100000,
720160,63884, 20131015,   62.2,24,   57.4,24, 9999.9, 0,  959.3,24,   8.2,24, 999.9, 0, 999.9, 999.9,   76.5*,  52.2*, 0.00I,999.9, 000000,
720160,63884, 20131016,   60.6,24,   57.1,24, 9999.9, 0,  955.1,24,  10.0,24, 999.9, 0, 999.9, 999.9,   70.5*,  53.6*,99.99 ,999.9, 010000,
720160,63884, 20131017,   62.9,24,   62.1,24, 9999.9, 0,  951.5,24,   8.3,24, 999.9, 0, 999.9, 999.9,   70.0*,  55.4*,99.99 ,999.9, 010000,
720160,63884, 20131018,   54.0,24,   49.5,24, 9999.9, 0,  954.6,24,   7.5,24, 999.9, 0, 999.9, 999.9,   63.0*,  48.4*,99.99 ,999.9, 110000,
720160,63884, 20131019,   48.3,24,   46.8,24, 9999.9, 0,  952.0,24,   8.2,24, 999.9, 0, 999.9, 999.9,   59.5*,  42.8*,99.99 ,999.9, 010000,
720160,63884, 20131020,   47.1,24,   41.2,24, 9999.9, 0,  955.5,24,   7.9,24, 999.9, 0, 999.9, 999.9,   61.7*,  36.3*,99.99 ,999.9, 110000,
720160,63884, 20131021,   47.1,24,   39.9,24, 9999.9, 0,  956.1,24,  10.0,24, 999.9, 0, 999.9, 999.9,   70.3*,  33.8*, 0.00I,999.9, 000000,
720160,63884, 20131022,   46.9,24,   45.5,24, 9999.9, 0,  952.7,24,   9.9,24, 999.9, 0, 999.9, 999.9,   51.4*,  41.0*,99.99 ,999.9, 010000,
720160,63884, 20131023,   46.2,24,   45.0,24, 9999.9, 0,  948.2,24,   8.8,24, 999.9, 0, 999.9, 999.9,   50.0*,  38.5*,99.99 ,999.9, 010000,
720160,63884, 20131024,   39.9,24,   37.1,24, 9999.9, 0,  956.1,24,  10.0,24, 999.9, 0, 999.9, 999.9,   44.1*,  36.9*,99.99 ,999.9, 010000,
720160,63884, 20131025,   37.7,24,   35.3,24, 9999.9, 0,  963.0,24,   8.3,24, 999.9, 0, 999.9, 999.9,   43.2*,  34.7*,99.99 ,999.9, 011000,
720160,63884, 20131026,   37.4,24,   30.4,24, 9999.9, 0,  961.1,24,   8.3,24, 999.9, 0, 999.9, 999.9,   57.2*,  27.5*, 0.00I,999.9, 000000,
720160,63884, 20131027,   47.9,24,   39.8,24, 9999.9, 0,  956.1,24,  10.0,24, 999.9, 0, 999.9, 999.9,   63.7*,  36.1*, 0.00I,999.9, 000000,
720160,63884, 20131028,   45.4,24,   44.8,24, 9999.9, 0,  959.6,24,   7.7,24, 999.9, 0, 999.9, 999.9,   55.0*,  37.6*,99.99 ,999.9, 010000,
720160,63884, 20131029,   57.3,22,   54.3,22, 9999.9, 0,  963.2,22,   5.7,22, 999.9, 0, 999.9, 999.9,   66.2*,  52.7*,99.99 ,999.9, 010000,
720160,63884, 20131030,   57.5,24,   57.1,24, 9999.9, 0,  961.1,24,   7.4,24, 999.9, 0, 999.9, 999.9,   64.0*,  54.0*,99.99 ,999.9, 010000,
720160,63884, 20131031,   59.0,23,   58.5,23, 9999.9, 0,  955.5,23,   4.2,23, 999.9, 0, 999.9, 999.9,   68.4*,  55.0*,99.99 ,999.9, 110000,
720160,63884, 20131101,   63.2,19,   57.0,19, 9999.9, 0,  944.5,19,   9.2,19, 999.9, 0, 999.9, 999.9,   71.2*,  52.3*,99.99 ,999.9, 010000,
720160,63884, 20131102,   50.3,24,   43.2,24, 9999.9, 0,  947.7,24,   9.6,24, 999.9, 0, 999.9, 999.9,   59.2*,  43.3*, 0.00I,999.9, 000000,
720160,63884, 20131103,   45.0,24,   38.7,24, 9999.9, 0,  958.5,24,   9.9,24, 999.9, 0, 999.9, 999.9,   52.7*,  36.7*, 0.00I,999.9, 000000,
720160,63884, 20131104,   43.4,24,   34.3,24, 9999.9, 0,  966.3,24,  10.0,24, 999.9, 0, 999.9, 999.9,   61.3*,  31.8*, 0.00I,999.9, 000000,
720160,63884, 20131105,   48.5,24,   34.6,24, 9999.9, 0,  967.7,24,  10.0,24, 999.9, 0, 999.9, 999.9,   60.1*,  39.2*, 0.00I,999.9, 000000,
720160,63884, 20131106,   51.0,24,   44.1,24, 9999.9, 0,  962.9,24,  10.0,24, 999.9, 0, 999.9, 999.9,   73.9*,  38.3*, 0.00I,999.9, 000000,
720160,63884, 20131107,   51.5,24,   48.1,24, 9999.9, 0,  956.4,24,   8.5,24, 999.9, 0, 999.9, 999.9,   58.3*,  44.8*,99.99 ,999.9, 010000,
720160,63884, 20131108,   38.7,24,   31.4,24, 9999.9, 0,  961.8,24,  10.0,24, 999.9, 0, 999.9, 999.9,   50.2*,  30.0*, 0.00I,999.9, 000000,
720160,63884, 20131109,   39.7,24,   29.9,24, 9999.9, 0,  961.7,24,  10.0,24, 999.9, 0, 999.9, 999.9,   62.6*,  27.5*, 0.00I,999.9, 000000,
720160,63884, 20131110,   43.3,24,   33.4,24, 9999.9, 0,  959.9,24,  10.0,24, 999.9, 0, 999.9, 999.9,   60.1*,  31.5*, 0.00I,999.9, 000000,
720160,63884, 20131111,   42.0,24,   30.0,24, 9999.9, 0,  962.2,24,  10.0,24, 999.9, 0, 999.9, 999.9,   65.7*,  28.4*, 0.00I,999.9, 000000,
720160,63884, 20131112,   39.2,24,   33.8,24, 9999.9, 0,  960.5,24,   8.1,24, 999.9, 0, 999.9, 999.9,   50.4*,  28.6*,99.99 ,999.9, 011000,
720160,63884, 20131113,   30.3,24,   23.5,24, 9999.9, 0,  970.0,24,   9.7,24, 999.9, 0, 999.9, 999.9,   39.6*,  22.5*,99.99 ,999.9, 001000,
720160,63884, 20131114,   32.2,24,   23.8,24, 9999.9, 0,  966.4,24,  10.0,24, 999.9, 0, 999.9, 999.9,   56.5*,  20.5*, 0.00I,999.9, 000000,
720160,63884, 20131115,   38.2,24,   30.1,24, 9999.9, 0,  961.6,24,  10.0,24, 999.9, 0, 999.9, 999.9,   61.9*,  25.9*,99.99 ,999.9, 010000,
720160,63884, 20131116,   52.6,24,   49.5,24, 9999.9, 0,  959.6,24,   6.3,24, 999.9, 0, 999.9, 999.9,   68.2*,  45.1*,99.99 ,999.9, 010000,
720160,63884, 20131117,   54.9,24,   51.0,24, 9999.9, 0,  955.0,24,   9.5,24, 999.9, 0, 999.9, 999.9,   73.8*,  45.5*,99.99 ,999.9, 010000,
720160,63884, 20131118,   55.0,24,   47.2,24, 9999.9, 0,  950.9,24,   8.2,24, 999.9, 0, 999.9, 999.9,   65.8*,  41.7*,99.99 ,999.9, 010000,
720160,63884, 20131119,   42.4,24,   29.7,24, 9999.9, 0,  958.8,24,  10.0,24, 999.9, 0, 999.9, 999.9,   50.5*,  33.8*, 0.00I,999.9, 000000,
720160,63884, 20131120,   39.5,24,   28.6,24, 9999.9, 0,  963.2,24,  10.0,24, 999.9, 0, 999.9, 999.9,   53.6*,  32.0*, 0.00I,999.9, 000000,
720160,63884, 20131121,   46.8,24,   36.5,24, 9999.9, 0,  964.9,24,  10.0,24, 999.9, 0, 999.9, 999.9,   69.1*,  32.9*, 0.00I,999.9, 000000,
720160,63884, 20131122,   56.7,24,   54.1,24, 9999.9, 0,  961.3,24,   7.9,24, 999.9, 0, 999.9, 999.9,   63.0*,  51.4*,99.99 ,999.9, 010000,
720160,63884, 20131123,   45.4,24,   41.3,24, 9999.9, 0,  960.6,24,   8.9,24, 999.9, 0, 999.9, 999.9,   58.1*,  38.3*,99.99 ,999.9, 010000,
720160,63884, 20131124,   27.3,24,   12.7,24, 9999.9, 0,  966.4,24,   9.8,24, 999.9, 0, 999.9, 999.9,   37.4*,  19.2*,99.99 ,999.9, 001000,
720160,63884, 20131125,   26.9,24,   16.3,24, 9999.9, 0,  966.5,24,  10.0,24, 999.9, 0, 999.9, 999.9,   45.5*,  17.4*, 0.00I,999.9, 000000,
720160,63884, 20131126,   38.9,24,   37.0,24, 9999.9, 0,  956.4,24,   4.3,24, 999.9, 0, 999.9, 999.9,   45.9*,  34.7*,99.99 ,999.9, 011000,
720160,63884, 20131127,   33.5,24,   32.1,24, 9999.9, 0,  947.6,24,   3.7,24, 999.9, 0, 999.9, 999.9,   44.6*,  25.3*,99.99 ,999.9, 011000,
720160,63884, 20131128,   26.5,24,   21.3,24, 9999.9, 0,  962.5,24,   9.3,24, 999.9, 0, 999.9, 999.9,   34.9*,  20.8*,99.99 ,999.9, 001000,
720160,63884, 20131129,   27.1,24,   24.4,24, 9999.9, 0,  969.2,24,  10.0,24, 999.9, 0, 999.9, 999.9,   41.9*,  17.6*, 0.00I,999.9, 000000,
720160,63884, 20131130,   31.9,24,   27.6,24, 9999.9, 0,  968.6,24,  10.0,24, 999.9, 0, 999.9, 999.9,   49.6*,  23.2*, 0.00I,999.9, 000000,
720160,63884, 20131201,   35.0,20,   30.7,20, 9999.9, 0,  959.4,20,  10.0,20, 999.9, 0, 999.9, 999.9,   53.6*,  24.6*, 0.00I,999.9, 000000,
720160,63884, 20131202,   43.1,24,   38.3,24, 9999.9, 0,  951.2,24,  10.0,24, 999.9, 0, 999.9, 999.9,   52.9*,  38.3*, 0.00I,999.9, 000000,
720160,63884, 20131203,   46.7,24,   42.7,24, 9999.9, 0,  949.0,24,  10.0,24, 999.9, 0, 999.9, 999.9,   59.4*,  40.1*, 0.00I,999.9, 000000,
720160,63884, 20131204,   49.4,24,   45.3,24, 9999.9, 0,  951.3,24,   8.3,24, 999.9, 0, 999.9, 999.9,   70.9*,  38.3*, 0.00I,999.9, 000000,
720160,63884, 20131205,   54.6,24,   51.6,24, 9999.9, 0,  953.0,24,   9.0,24, 999.9, 0, 999.9, 999.9,   70.7*,  43.7*,99.99 ,999.9, 010000,
720160,63884, 20131206,   49.0,24,   48.9,24, 9999.9, 0,  953.6,24,   3.8,24, 999.9, 0, 999.9, 999.9,   60.8*,  39.2*,99.99 ,999.9, 011000,
720160,63884, 20131207,   35.4,24,   34.7,24, 9999.9, 0,  963.3,24,   6.9,24, 999.9, 0, 999.9, 999.9,   38.8*,  32.9*,99.99 ,999.9, 011000,
720160,63884, 20131208,   35.3,24,   33.3,24, 9999.9, 0,  963.5,24,   8.5,24, 999.9, 0, 999.9, 999.9,   39.6*,  32.0*,99.99 ,999.9, 011000,
720160,63884, 20131209,   43.8,24,   43.6,24, 9999.9, 0,  956.2,24,   4.8,24, 999.9, 0, 999.9, 999.9,   46.6*,  39.4*,99.99 ,999.9, 011000,
